active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,12,10,133,1.0,,,base,0,0.021757000000000026,10,,2,4,False,,False,,,,,,,,,0,0,,17,0,,,119,range_area7,[],12540.003423868544,0,78.3020734411675,0.0,8,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.022487540962174535
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,12,10,133,1.0,,,base,0,0.021313999999999944,10,,2,4,False,,False,,first,0,0,8,63,0,0,0,0,,17,0,,,119,history_first8_area7,[],12540.003423868544,0,78.3020734411675,0.0,8,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.021364707965403795
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,12,10,133,1.0,,,base,0,0.02269600000000005,10,,2,4,False,,False,,ends,0,0,8,100,0,0,0,0,,17,0,,,119,history_ends8_area7,[],12540.003423868544,0,78.3020734411675,0.0,8,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.02269654197152704
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,12,10,133,1.0,,,base,0,0.02240399999999998,10,,2,4,False,,False,,ends,0,0,16,100,0,0,0,0,,17,0,,,119,history_ends16_area7,[],12540.003423868544,0,78.3020734411675,0.0,8,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.022448500036261976
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,19,15,158,1.0,,,base,0,0.03410499999999994,15,,3,7,False,,False,,,,,,,,,0,0,,22,0,,,137,range_area7,[],12819.328505185638,0,112.15950215678339,0.0,12,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03412441600812599
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,19,15,158,1.0,,,base,0,0.037968,15,,3,7,False,,False,,first,0,0,8,600,0,0,0,0,,22,0,,,137,history_first8_area7,[],12819.328505185638,0,112.15950215678339,0.0,12,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.038013292010873556
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,19,15,158,1.0,,,base,0,0.04088400000000003,15,,3,7,False,,False,,ends,0,0,8,781,0,0,0,0,,22,0,,,137,history_ends8_area7,[],12819.328505185638,0,112.15950215678339,0.0,12,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.04089991602813825
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,19,15,158,1.0,,,base,0,0.04317599999999999,15,,3,7,False,,False,,ends,0,0,16,1180,0,0,0,0,,22,0,,,137,history_ends16_area7,[],12819.328505185638,0,112.15950215678339,0.0,12,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.043209999974351376
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,16,15,137,1.0,,,base,0,0.02681499999999981,15,,8,9,False,,False,,,,,,,,,0,0,,22,0,,,119,range_area7,[],13126.1345818081,0,43.08970576885116,0.0,7,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.02683499996783212
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,16,15,137,1.0,,,base,0,0.029088000000000003,15,,8,9,False,,False,,first,0,0,8,298,0,0,0,0,,22,0,,,119,history_first8_area7,[],13126.1345818081,0,43.08970576885116,0.0,7,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.029120041988790035
