active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,modeled_known_scan_pairs,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,service_order_mode,service_route_plans,service_scan_cost_weight,service_scan_order_cost_s,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,7,0,14,10,142,1.0,,,arc,0,0.021743999999999986,10,3,7,False,,False,,0,0,,0,0,,,126,service_locked1_area7,[],128,11514.424955647663,0,38.17251503846566,0.0,7,,,311.588499,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,11,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3115.88499,,,True,0.021760917035862803
7,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,7,0,14,10,142,1.0,,,arc,0,0.023085000000000022,10,3,7,False,,False,,0,0,,0,0,,,126,vector_service_locked1_area7,[],128,11514.424955647663,0,38.17251503846566,0.0,7,,,311.588499,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,11,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3115.88499,,,True,0.023114207957405597
9,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,12,8,20,15,137,1.0,,,arc,0,0.03370799999999985,15,3,8,False,,False,,0,0,,0,0,,,115,service_locked1_area7,[],234,11203.017299801088,0,86.95151269923997,0.0,12,,,201.04023053333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,21,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,110,3015.603458,,,True,0.03374429204268381
9,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,12,8,20,15,137,1.0,,,arc,0,0.03768299999999991,15,3,8,False,,False,,0,0,,0,0,,,115,vector_service_locked1_area7,[],234,11203.017299801088,0,86.95151269923997,0.0,12,,,201.04023053333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,21,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,110,3015.603458,,,True,0.03770291694672778
7,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,10,6,20,15,166,1.0,,,arc,0,0.03590300000000002,15,5,10,False,,False,,0,0,,0,0,,,144,service_locked1_area7,[],307,12565.992852962534,0,131.07144615778594,0.0,10,,,230.61323793333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,136,3459.198569,,,True,0.035942041024100035
7,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,10,6,20,15,166,1.0,,,arc,0,0.038793999999999995,15,5,10,False,,False,,0,0,,0,0,,,144,vector_service_locked1_area7,[],307,12565.992852962534,0,131.07144615778594,0.0,10,,,230.61323793333335,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,136,3459.198569,,,True,0.0388137919944711
4,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,6,2,11,10,138,1.0,,,arc,0,0.021309000000000022,10,4,5,False,,False,,0,0,,0,0,,,125,service_locked1_area7,[],153,10696.08464676192,0,43.84216074143808,0.0,6,,,293.42169309999997,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,2934.216931,,,True,0.021346416033338755
4,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,6,2,11,10,138,1.0,,,arc,0,0.023058000000000023,10,4,5,False,,False,,0,0,,0,0,,,125,vector_service_locked1_area7,[],153,10696.08464676192,0,43.84216074143808,0.0,6,,,293.42169309999997,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,2934.216931,,,True,0.023060749983415008
10,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,10,7,17,12,140,1.0,,,arc,0,0.030789999999999873,12,2,7,False,,False,,0,0,,0,0,,,121,service_locked1_area7,[],172,12464.432638335687,0,95.83895903624173,0.0,10,,,273.8238773333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,20,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,113,3285.886528,,,True,0.030799333995673805
10,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,10,7,17,12,140,1.0,,,arc,0,0.03251500000000007,12,2,7,False,,False,,0,0,,0,0,,,121,vector_service_locked1_area7,[],172,12464.432638335687,0,95.83895903624173,0.0,10,,,273.8238773333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,20,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,113,3285.886528,,,True,0.032540499989409
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,7,0,13,10,139,1.0,,,arc,0,0.0208330000000001,10,3,6,False,,False,,0,0,,0,0,,,124,service_locked1_area7,[],120,11439.585376816449,0,41.22805345201003,0.0,7,,,308.6917073,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3086.917073,,,True,0.020848417014349252
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,7,0,13,10,139,1.0,,,arc,0,0.022012000000000143,10,3,6,False,,False,,0,0,,0,0,,,124,vector_service_locked1_area7,[],120,11439.585376816449,0,41.22805345201003,0.0,7,,,308.6917073,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,120,3086.917073,,,True,0.02202841598773375
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,12,5,22,15,145,1.0,,,arc,0,0.03396900000000014,15,3,10,False,,False,,0,0,,0,0,,,121,service_locked1_area7,[],252,11163.52153498195,0,86.64739161121139,0.0,12,,,203.11362066666666,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,21,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,113,3046.70431,,,True,0.03401195799233392
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,12,5,22,15,145,1.0,,,arc,0,0.03562900000000013,15,3,10,False,,False,,0,0,,0,0,,,121,vector_service_locked1_area7,[],252,11163.52153498195,0,86.64739161121139,0.0,12,,,203.11362066666666,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,21,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,113,3046.70431,,,True,0.035642458009533584
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,11,6,21,15,163,1.0,,,arc,0,0.03533199999999992,15,4,10,False,,False,,0,0,,0,0,,,140,service_locked1_area7,[],309,12478.728849451374,0,111.81952744039546,0.0,11,,,227.98305113333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,131,3419.745767,,,True,0.03538100002333522
9,0,True,0,0,0,0,0,uniform__adversarial-negative__69,uniform__adversarial-negative,11,6,21,15,163,1.0,,,arc,0,0.03771300000000011,15,4,10,False,,False,,0,0,,0,0,,,140,vector_service_locked1_area7,[],309,12478.728849451374,0,111.81952744039546,0.0,11,,,227.98305113333333,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,131,3419.745767,,,True,0.0377299590036273
4,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,5,2,11,10,138,1.0,,,arc,0,0.020998000000000072,10,5,6,False,,False,,0,0,,0,0,,,125,service_locked1_area7,[],157,10690.818344626192,0,41.19407354287674,0.0,5,,,293.316367,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,2933.16367,,,True,0.02101637498708442
4,0,True,0,0,0,0,0,uniform__adversarial-negative__70,uniform__adversarial-negative,5,2,11,10,138,1.0,,,arc,0,0.023301000000000016,10,5,6,False,,False,,0,0,,0,0,,,125,vector_service_locked1_area7,[],157,10690.818344626192,0,41.19407354287674,0.0,5,,,293.316367,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,0.5,locked,17,1.0,0.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,2933.16367,,,True,0.023317041981499642
12,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,11,6,19,12,151,1.0,,,arc,0,0.0299640000000001,12,1,8,False,,False,,0,0,,0,0,,,130,service_locked1_area7,[],191,12725.349715195991,0,101.97089863910828,0.0,11,,,283.3391619166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,25,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,124,3400.069943,,,True,0.02998283301712945
12,0,True,0,0,0,0,0,uniform__adversarial-negative__71,uniform__adversarial-negative,11,6,19,12,151,1.0,,,arc,0,0.032102000000000075,12,1,8,False,,False,,0,0,,0,0,,,130,vector_service_locked1_area7,[],191,12725.349715195991,0,101.97089863910828,0.0,11,,,283.3391619166667,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,0.5,locked,19,1.0,0.0,25,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,124,3400.069943,,,True,0.03220249997684732
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,9,0,16,10,145,1.0,,,arc,0,0.023060999999999998,10,1,7,False,,False,,0,0,,0,0,,,127,service_locked1_area7,[],124,11514.442755915961,0,54.1288471344636,0.0,9,,,312.688855,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3126.88855,,,True,0.02307391702197492
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__67,uniform__adversarial-spatial,9,0,16,10,145,1.0,,,arc,0,0.023599000000000148,10,1,7,False,,False,,0,0,,0,0,,,127,vector_service_locked1_area7,[],124,11514.442755915961,0,54.1288471344636,0.0,9,,,312.688855,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,0.5,locked,17,1.0,0.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,121,3126.88855,,,True,0.023662500025238842
8,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,11,13,19,15,137,1.0,,,arc,0,0.03349599999999997,15,4,8,False,,False,,0,0,,0,0,,,116,service_locked1_area7,[],235,11183.0058180322,0,138.01035710491058,0.0,11,,,200.90674413333332,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,24,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,110,3013.601162,,,True,0.03354929096531123
8,0,True,0,0,0,0,0,uniform__adversarial-spatial__68,uniform__adversarial-spatial,11,13,19,15,137,1.0,,,arc,0,0.035995,15,4,8,False,,False,,0,0,,0,0,,,116,vector_service_locked1_area7,[],235,11183.0058180322,0,138.01035710491058,0.0,11,,,200.90674413333332,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,0.5,locked,22,1.0,0.0,24,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,110,3013.601162,,,True,0.036010708019603044
9,0,True,0,0,0,0,0,uniform__adversarial-spatial__69,uniform__adversarial-spatial,13,6,21,15,162,1.0,,,arc,0,0.034520000000000106,15,2,8,False,,False,,0,0,,0,0,,,139,service_locked1_area7,[],306,12409.61011075373,0,139.38424907605844,0.0,13,,,226.72813506666668,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,0.5,locked,22,1.0,0.0,33,,1,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,131,3400.922026,,,True,0.03461966599570587
