active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,modeled_known_scan_pairs,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,service_order_mode,service_route_plans,service_scan_cost_weight,service_scan_order_cost_s,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,,12,10,133,1.0,,,base,0,0.022499999999999964,,10,,2,4,False,,,,,False,,0,0,,17,0,,,,119,range_area7,,,[],,12540.003423868544,0,78.3020734411675,0.0,8,,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,1.0,,,,,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.02282616595039144
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,,12,10,133,1.0,,,arc,0,0.021903999999999924,,10,,2,4,False,,,,,False,,0,0,,0,0,,,,119,service_free0_area7,,,[],0,12540.003423868544,0,78.3020734411675,0.0,8,,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,0.5,free,17,0.0,0.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.021908875030931085
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,8,3,,12,10,133,1.0,,,arc,0,0.022522000000000153,,10,,2,4,False,,,,,False,,0,0,,0,0,,,,119,service_free1_area7,,,[],86,12540.003423868544,0,78.3020734411675,0.0,8,,,,327.2000683,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,0.5,free,17,1.0,0.0,8,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3272.000683,,,True,0.02252183301607147
9,0,True,0,0,0,0,0,uniform__smooth__67,uniform__smooth,7,0,,13,10,141,1.0,,,arc,0,0.022513000000000005,,10,,3,6,False,,,,,False,,0,0,,0,0,,,,126,service_locked1_area7,,,[],120,11526.212484760188,0,89.38185596460559,0.0,7,,,,311.3242498,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,,3,,,67,0.5,locked,17,1.0,0.0,10,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,119,3113.242498,,,True,0.022526332992129028
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,,19,15,158,1.0,,,base,0,0.034919000000000144,,15,,3,7,False,,,,,False,,0,0,,22,0,,,,137,range_area7,,,[],,12819.328505185638,0,112.15950215678339,0.0,12,,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,1.0,,,,,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03505033301189542
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,,19,15,158,1.0,,,arc,0,0.03547599999999984,,15,,3,7,False,,,,,False,,0,0,,0,0,,,,137,service_free0_area7,,,[],0,12819.328505185638,0,112.15950215678339,0.0,12,,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,0.5,free,22,0.0,0.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.03551895800046623
12,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,12,4,,19,15,158,1.0,,,arc,0,0.03874700000000009,,15,,3,7,False,,,,,False,,0,0,,0,0,,,,137,service_free1_area7,,,[],390,12819.328505185638,0,112.15950215678339,0.0,12,,,,230.6577134,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,0.5,free,22,1.0,0.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3459.865701,,,True,0.038759499962907284
4,0,True,0,0,0,0,0,uniform__smooth__68,uniform__smooth,6,6,,15,15,127,1.0,,,arc,0,0.03085199999999988,,15,,9,9,False,,,,,False,,0,0,,0,0,,,,110,service_locked1_area7,,,[],247,11135.957849531067,0,31.45296669651856,0.0,6,,,,197.079438,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,,3,,,68,0.5,locked,22,1.0,0.0,18,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,104,2956.19157,,,True,0.030868416011799127
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,,16,15,137,1.0,,,base,0,0.027517000000000014,,15,,8,9,False,,,,,False,,0,0,,22,0,,,,119,range_area7,,,[],,13126.1345818081,0,43.08970576885116,0.0,7,,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,1.0,,,,,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.027598417014814913
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,,16,15,137,1.0,,,arc,0,0.027689999999999992,,15,,8,9,False,,,,,False,,0,0,,0,0,,,,119,service_free0_area7,,,[],0,13126.1345818081,0,43.08970576885116,0.0,7,,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,,3,,,69,0.5,free,22,0.0,0.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.028009082947392017
