intersection_angle_deg,error1,error2,pure_wedge_status,pure_wedge_diameter_m,pure_wedge_mec_radius_m,with_public_prior_outer_radius_m,certifies_20m,ray_intersection_error_m
90,1.0,1.0,bounded,49.38542582373398,24.692712911867,24.939843773867718,False,24.681429879653912
120,-1.0,-1.0,bounded,69.79899340500171,34.899496702500855,35.24834779812553,False,34.904812874566815
120,-1.0,0.0,bounded,69.11312534337833,34.556562671689164,34.90198584063568,False,19.954279894246366
120,-1.0,1.0,bounded,68.4612562922202,34.23062814611011,34.572793313349905,False,20.360560211510574
120,0.0,-1.0,bounded,70.5203072933378,35.2601536466689,35.61260982504879,False,20.360560211510826
120,0.0,0.0,bounded,69.79899340500148,34.89949670250074,35.24834779812866,False,0.0
120,0.0,1.0,bounded,69.11312534337814,34.55656267168907,34.90198584063569,False,19.954279894246337
120,1.0,-1.0,bounded,71.27862407955232,35.63931203977616,35.995558239128314,False,19.95427989424661
120,1.0,0.0,bounded,70.52030729333778,35.26015364666889,35.6126098250488,False,20.36056021151073
120,1.0,1.0,bounded,69.79899340500153,34.89949670250076,35.24834779812549,False,34.904812874566815
150,-1.0,-1.0,bounded,134.84130075774286,67.42065037887143,68.09457894445764,False,67.43092043466295
150,-1.0,0.0,bounded,130.90420623882176,65.45210311941088,66.10635432755357,False,33.88566260917972
150,-1.0,1.0,bounded,127.22815517271168,63.61407758635585,64.24995611624925,False,18.155728571133466
150,0.0,-1.0,bounded,139.06623871162924,69.53311935581462,70.2281639027205,False,35.998473851273495
150,0.0,0.0,bounded,134.8413007577429,67.42065037887146,68.0945789444635,False,0.0
150,0.0,1.0,bounded,130.9042062388216,65.45210311941081,66.10635432755357,False,33.885662609179846
150,1.0,-1.0,bounded,143.6096575877582,71.8048287938791,72.52258107025531,False,17.986687939218314
150,1.0,0.0,bounded,139.0662387116294,69.5331193558147,70.22816390272064,False,35.99847385127338
150,1.0,1.0,bounded,134.8413007577429,67.42065037887146,68.09457894445771,False,67.43092043466318
175,-1.0,-1.0,bounded,800.0913999593464,400.0456999796732,252.71513277823962,False,400.10663815862836
175,-1.0,0.0,bounded,667.1155209745594,333.5577604872797,335.598000302012,False,166.96319731205887
175,-1.0,1.0,bounded,572.1911539118503,286.09557695592514,288.9553533108933,False,17.48501952329208
175,0.0,-1.0,bounded,999.6571857295648,499.8285928647824,378.0791709364595,False,250.19049129835537
175,0.0,0.0,bounded,800.0913999593506,400.0456999796753,404.04450781145374,False,0.0
175,0.0,1.0,bounded,667.1155209745622,333.55776048728114,335.5980003020151,False,166.96319731205898
175,1.0,-1.0,bounded,1332.4025246767587,666.2012623383794,500.9720164054669,False,17.458388991157815
175,1.0,0.0,bounded,999.6571857295712,499.8285928647856,378.07917093646097,False,250.19049129835548
175,1.0,1.0,bounded,800.0913999593547,400.04569997967735,252.71513277824224,False,400.10663815862847
179,-1.0,-1.0,bounded,1000.0000000000116,500.00000000000585,260.03897628690424,False,1999.923846128354
179,-1.0,0.0,bounded,1500.0761640219553,750.0380820109776,500.07700154370207,False,500.0761640219553
179,-1.0,1.0,bounded,1333.6211026548142,666.8105513274071,500.0587141786449,False,17.45838899115781
179,0.0,-1.0,bounded,1999.923846128343,999.9619230641715,500.21170064322524,False,
179,0.0,0.0,bounded,1999.9238461283426,999.9619230641714,500.1157543188718,False,0.0
179,0.0,1.0,bounded,1500.0761640219469,750.0380820109734,500.0770015437019,False,500.0761640219554
179,1.0,-1.0,bounded,1999.923846128343,999.9619230641715,500.1157543188718,False,17.453070996747897
179,1.0,0.0,bounded,1999.9238461283426,999.9619230641713,500.21170064322524,False,
179,1.0,1.0,bounded,999.9999999999886,499.9999999999944,260.03897628689265,False,1999.9238461283537
180,-1.0,-1.0,bounded,2000.0000000000136,1000.0000000000103,500.0000685489214,False,
180,-1.0,0.0,bounded,2000.0000000000073,1000.0000000000036,500.0792888084944,False,999.999999999993
180,-1.0,1.0,bounded,2000.0000000000105,1000.0000000000103,500.0777424896451,False,17.45506492821761
180,0.0,-1.0,bounded,2000.000000000021,1000.000000000021,500.0792888084944,False,1000.0000000000073
180,0.0,0.0,bounded,2000.0000000000005,1000.0000000000002,500.0776951272042,False,
180,0.0,1.0,bounded,2000.0000000000261,1000.0000000000234,500.0792888084944,False,999.999999999993
180,1.0,-1.0,bounded,2000.0000000000052,1000.0000000000026,500.0777424896451,False,17.455064928217613
180,1.0,0.0,bounded,2000.000000000009,1000.0000000000045,500.0792888084944,False,1000.000000000007
180,1.0,1.0,bounded,2000.0000000000068,1000.0000000000034,500.0000685489214,False,
