problem,method,category,runs,all_cleared,mean_per_source_s,max_per_source_s,max_total_s,mean_commands
3,joint9,uniform__iid,10,10,264.27218517792545,325.05813790909093,3682.37174,154.7
3,joint9,uniform__smooth,10,10,270.2894326615218,330.43014345454543,3874.62328,154.8
3,peer_layout9_proxy,boundary_outward,9,9,359.21448977970084,415.3720502,5111.307003,167.55555555555554
3,peer_layout9_proxy,boundary_tangent,9,9,364.2237412409188,406.5242753,5227.28506,165.33333333333334
3,peer_layout9_proxy,cluster_far20,9,9,431.0217896371795,510.0644332,5719.5792,114.33333333333333
3,peer_layout9_proxy,clustered__adversarial-negative,10,10,317.433421955703,364.88573163636363,5007.813191,130.6
3,peer_layout9_proxy,clustered__adversarial-positive,10,10,314.03435218113634,390.25532227272726,4876.497312,130.2
3,peer_layout9_proxy,clustered__adversarial-spatial,10,10,315.9880549919277,367.9624900909091,5196.494452,130.4
3,peer_layout9_proxy,clustered__iid,10,10,318.214584833196,386.66210454545455,4931.549415,130.3
3,peer_layout9_proxy,clustered__smooth,10,10,316.0063069765064,366.2815156363636,5018.714894,130.0
3,peer_layout9_proxy,edge__adversarial-negative,10,10,343.5604934814086,412.4819803636364,4959.556679,156.2
3,peer_layout9_proxy,edge__adversarial-positive,10,10,343.55189658771644,410.5641096363636,5144.972809,156.5
3,peer_layout9_proxy,edge__adversarial-spatial,10,10,346.51036858417,409.2565580909091,5139.91004,156.0
3,peer_layout9_proxy,edge__iid,10,10,342.7292409456277,410.37590400000005,5101.189186,155.3
3,peer_layout9_proxy,edge__smooth,10,10,341.9374601849646,410.53393118181816,5187.131019,155.5
3,peer_layout9_proxy,near_collinear,9,9,358.28106953888886,428.7510118,4931.872611,132.0
3,peer_layout9_proxy,range_transition,9,9,388.7459368688035,483.65655230000004,5327.662865,129.44444444444446
3,peer_layout9_proxy,uniform__adversarial-negative,10,10,367.4747610612966,414.27846458333335,5501.482406,135.0
3,peer_layout9_proxy,uniform__adversarial-positive,10,10,359.07064012539,434.8074300833334,5346.63674,134.9
3,peer_layout9_proxy,uniform__adversarial-spatial,10,10,364.86789695400387,431.9081855,5269.133054,134.9
3,peer_layout9_proxy,uniform__iid,10,10,360.7645177460868,412.36867627272727,5490.401595,134.7
3,peer_layout9_proxy,uniform__smooth,10,10,363.9258710293877,420.2737048181818,5318.166671,134.8
3,shared9,boundary_outward,9,9,342.2136182430556,408.62635059999997,4781.641845,178.22222222222223
3,shared9,boundary_tangent,9,9,338.03856844818375,403.8757175,4732.906756,175.11111111111111
3,shared9,cluster_far20,9,9,326.77099966036326,433.78269659999995,4337.826966,127.0
3,shared9,clustered__adversarial-negative,10,10,247.14479343666045,324.11728472727276,3807.906313,133.3
3,shared9,clustered__adversarial-positive,10,10,246.1877119597927,324.3080565454545,3682.750761,128.9
3,shared9,clustered__adversarial-spatial,10,10,246.45451235475352,324.2138841818182,3888.70406,134.7
3,shared9,clustered__iid,10,10,237.8465701211609,319.79663163636366,3635.173647,121.6
3,shared9,clustered__smooth,10,10,249.54273347840495,321.9726000909091,3775.22548,128.4
3,shared9,edge__adversarial-negative,10,10,286.8650201367957,356.2839767272727,4400.301188,158.4
3,shared9,edge__adversarial-positive,10,10,280.5431405357043,352.03185754545456,4251.724851,155.7
3,shared9,edge__adversarial-spatial,10,10,283.71243545597815,356.92246972727276,4240.235528,161.9
3,shared9,edge__iid,10,10,284.1826247435827,357.1231858181818,4126.743151,157.5
3,shared9,edge__smooth,10,10,283.69081351466076,356.8920003636363,4094.211201,156.0
3,shared9,near_collinear,9,9,303.96012031794874,372.4625785,4154.903639,128.0
3,shared9,range_transition,9,9,346.0375317271367,416.25242449999996,4710.556721,133.88888888888889
3,shared9,uniform__adversarial-negative,10,10,309.2245336232405,364.7277005,4546.381537,140.8
3,shared9,uniform__adversarial-positive,10,10,315.4731303640102,372.87405108333337,4781.627567,140.7
3,shared9,uniform__adversarial-spatial,10,10,314.6775073259332,371.98841792307695,4835.849433,143.8
3,shared9,uniform__iid,10,10,306.470565525005,367.69914284615385,4780.088857,136.5
3,shared9,uniform__smooth,10,10,311.3612132991796,381.25973576923076,4956.376565,136.4
4,bracket25,boundary_outward,9,9,678.1579183372863,844.3099716,9065.60911,490.8888888888889
4,bracket25,boundary_tangent,9,9,699.5675308222221,814.127714,10169.416275,425.55555555555554
4,bracket25,cluster_far20,9,9,584.5711188492521,825.8263935000001,8450.656174,307.44444444444446
4,bracket25,clustered__adversarial-negative,10,10,604.4892209944435,726.8194523333333,9167.73207,292.5
4,bracket25,clustered__adversarial-positive,10,10,604.537333669501,721.8791757272728,8737.027794,292.3
