phase,problem,setting,runs,all_cleared,sources,tau,misses,directional_fraction,max_observed_case_seconds,movement_s_per_source,measurement_s_per_source,switch_s_per_source,failed_clear_s_per_source,successful_clear_s_per_source,measurements_per_source,switches_per_source,misses_per_source
screen,4,share_cooldown=400,10,10,131,475.65394782442746,1,0.6106870229007634,6748.527851,349.6005127934647,102.21374045801527,18.81679389312977,0.022900763358778626,5.0,20.442748091603054,18.81679389312977,0.007633587786259542
screen,4,share_cooldown=50,10,10,127,493.2134105433071,3,0.7322834645669292,6798.622546,358.80396188041203,109.29133858267717,20.04724409448819,0.07086614173228346,5.0,21.858267716535433,20.04724409448819,0.023622047244094488
screen,4,share_cooldown=800,10,10,126,488.76944115873016,1,0.7380952380952381,6568.462183,354.8567428404003,108.88888888888889,20.0,0.023809523809523808,5.0,21.77777777777778,20.0,0.007936507936507936
screen,4,share_limit=0,10,10,137,445.93936250364965,1,0.4744525547445255,6741.091429,333.3846179861074,90.83941605839416,16.693430656934307,0.021897810218978103,5.0,18.16788321167883,16.693430656934307,0.0072992700729927005
screen,4,share_limit=12,10,10,132,438.37490070454544,0,0.4015151515151515,6335.788366,314.95065832686396,100.03787878787878,18.386363636363637,0.0,5.0,20.007575757575758,18.386363636363637,0.0
screen,4,share_limit=2,10,10,139,427.8504186906475,2,0.5323741007194245,6524.920357,315.2532964526211,90.89928057553956,16.654676258992804,0.04316546762589928,5.0,18.179856115107913,16.654676258992804,0.014388489208633094
screen,4,share_limit=20,10,10,129,464.6269141472868,3,0.4186046511627907,6742.810218,337.9912553109182,102.75193798449612,18.813953488372093,0.06976744186046512,5.0,20.550387596899224,18.813953488372093,0.023255813953488372
screen,4,steps=1,10,10,126,502.0087337936508,401,0.3412698412698413,7208.451626,370.9293690241024,98.41269841269842,18.11904761904762,9.547619047619047,5.0,19.682539682539684,18.11904761904762,3.1825396825396823
screen,4,steps=2,10,10,126,475.3785412222222,1,0.47619047619047616,6645.847051,347.94996992874263,103.45238095238095,18.952380952380953,0.023809523809523808,5.0,20.69047619047619,18.952380952380953,0.007936507936507936
screen,4,steps=3,10,10,135,451.8680494074074,0,0.5407407407407407,6448.783937,331.52730870978843,97.55555555555556,17.785185185185185,0.0,5.0,19.511111111111113,17.785185185185185,0.0
screen,4,steps=4,10,10,125,490.110910272,1,0.672,6783.916604,355.70291037319936,109.28,20.104,0.024,5.0,21.856,20.104,0.008
screen,4,transverse_m=10,10,10,134,456.36064223134326,3,0.6268656716417911,6625.895387,330.7785528343722,101.90298507462687,18.611940298507463,0.06716417910447761,5.0,20.380597014925375,18.611940298507463,0.022388059701492536
screen,4,transverse_m=100,10,10,126,486.5203405634921,0,0.5317460317460317,7509.963278,356.4489120653145,105.63492063492063,19.436507936507937,0.0,5.0,21.126984126984127,19.436507936507937,0.0
screen,4,transverse_m=20,10,10,124,506.1185562096774,1,0.6693548387096774,6879.043842,367.6911369726717,112.74193548387096,20.661290322580644,0.024193548387096774,5.0,22.548387096774192,20.661290322580644,0.008064516129032258
