phase,problem,setting,block,order,case_code,official_row_id,practice_run_no,parameters,sources,omni_sources,directional_sources,completed,cleared,misses,virtual_time_us,total_s,seconds_per_source,distance_m,movement_s,measurements,switches,measurement_s,switch_s,failed_clear_s,successful_clear_s,retries,duplicate_responses,max_action_ledger_error_s,wall_s,round_counters_recorded,sources_at_round_budget,maximum_rounds,end_reason,evidence,shared_known_measurements,shared_negative_cooldown_skips,source_interruptions,optical_fallback_calls,bracket_pair_cuts,active_measurements,certified_clears,omni_negative_cuts,packet_fallbacks,forced_continuations
screen,4,share_limit=20,1,21,FMFV-SVJD-2TKQ-JH59,200,2937107716780838463,"{""fraction"": 0.15, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 20, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",14,7,7,1,14,0,6528735958,6528.735958,466.33828271428575,23088.67979127007,4617.735958254014,311,286,1555,286,0,70,0,0,4.994139715108759e-07,39.96785549999913,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042613-b64f3325,16,4,5,0,1,16,11,,0,0
screen,4,fraction=0.3,1,22,PV7Q-CH3J-32N2-XW4C,201,8584906953493989550,"{""fraction"": 0.3, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",16,14,2,1,16,0,5246378909,5246.378909,327.8986818125,19341.894549602337,3868.3789099204673,219,203,1095,203,0,80,0,0,4.85889358969871e-07,37.3598402919888,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042653-f2aac113,35,7,5,0,1,11,11,,0,0
screen,3,localization_weight=0,1,23,X648-QXHX-WNBZ-4NEK,202,268100216173278384,"{""localization_weight"": 0, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",12,12,0,1,12,0,3199868260,3199.86826,266.65568833333333,11989.341298107209,2397.8682596214417,125,117,625,117,0,60,0,0,4.6845596557432145e-07,32.51016004101257,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042731-2adf895c,16,,,0,0,3,5,2,,
screen,3,max_active=5,1,24,XM38-H46D-9PZQ-T4QW,203,5779511010651710317,"{""localization_weight"": 0.08, ""max_active"": 5, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",10,10,0,1,10,0,3014730325,3014.730325,301.4730325,11128.651625196648,2225.7303250393297,124,119,620,119,0,50,0,0,4.751053381824022e-07,31.72220020898385,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042803-e603eb3d,9,,,0,0,6,5,1,,
screen,4,fraction=0.1,1,25,DZ7T-CUBE-EKP3-DGEP,204,2091186628325327005,"{""fraction"": 0.1, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",15,0,15,1,15,0,6492937741,6492.937741,432.86251606666667,24319.688700349223,4863.937740069845,263,239,1315,239,0,75,0,0,4.991451127978053e-07,36.96286870801123,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042835-3aa8f996,23,5,5,0,1,20,10,,0,0
screen,3,share_limit=12,1,26,DXD4-TZ9P-8B9C-2VFY,205,7024853818625187149,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 12, ""trial_radius"": 50.0}",11,11,0,1,11,0,3025807121,3025.807121,275.0733746363636,11304.035610376435,2260.807122075287,119,115,595,115,0,55,0,0,4.7426395699545765e-07,32.60825662501156,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042912-64922056,8,,,0,0,8,6,0,,
screen,3,trial_radius=20,1,27,VK3H-V3KB-D2PA-NSPY,206,3197718427985152341,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 20}",13,13,0,1,13,0,3380702572,3380.702572,260.05404400000003,12968.512877845273,2593.7025755690547,121,117,605,117,0,65,0,0,4.94827290253852e-07,31.925654416991165,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-042945-f993c83b,12,,,0,0,15,13,1,,
screen,4,fraction=0.05,1,28,67PS-W65E-5BT3-JJQ3,207,1558624282605432569,"{""fraction"": 0.05, ""pause_limit"": 16, ""share_cooldown"": 150.0, ""share_limit"": 6, ""steps"": 10, ""transverse_m"": 40.0, ""trial_radius"": 35.0}",11,3,8,1,11,0,6013557527,6013.557527,546.6870479090909,21182.78762302442,4236.557524604884,291,267,1455,267,0,55,0,0,4.969333673443543e-07,39.12908308400074,True,0,3,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043017-3ba202cf,11,4,2,0,0,16,8,,0,0
screen,3,max_active=1,1,29,9KH2-EDEC-7A28-JDY8,208,7906724408054245429,"{""localization_weight"": 0.08, ""max_active"": 1, ""remainder_weight"": 1.5, ""share_limit"": 6, ""trial_radius"": 50.0}",13,13,0,1,13,0,2923355179,2923.355179,224.87347530769233,10731.775890722085,2146.355178144417,120,112,600,112,0,65,0,0,4.804650615142236e-07,32.20567624998512,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043057-d1a5a218,23,,,0,0,4,5,1,,
screen,3,remainder_weight=1,1,30,EBGB-RNEQ-ABDH-V5PR,209,4629903272191957213,"{""localization_weight"": 0.08, ""max_active"": 3, ""remainder_weight"": 1, ""share_limit"": 6, ""trial_radius"": 50.0}",12,12,0,1,12,0,2881513113,2881.513113,240.12609275,10137.565571885829,2027.5131143771657,134,124,670,124,0,60,0,0,4.978759449159043e-07,32.55110429201159,False,,,user_exit,/Users/flower/math/2026/B题/B/experiments/runs/2026-09-13_official-sensitivity/host/auto_practice_evidence/20260913-043129-cda85a69,30,,,0,0,6,8,4,,
