active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__smooth__69,uniform__smooth,7,3,16,15,137,1.0,,,base,0,0.02744000000000002,15,,8,9,False,,3,0,3,False,,0,0,,22,0,,,119,faithful_area7,[],13126.1345818081,0,43.08970576885116,0.0,7,,,227.0817944,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,23,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,108,3406.226916,,,True,0.02745295799104497
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,,10,10,136,1.0,,,,,0.017529000000000017,10,,6,6,False,,,,,,,0,,,17,0,,,124,area_return1_7,[],11228.036691091005,0,25.521340928374684,0.0,4,,,303.360734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,118,3033.60734,,,True,0.01753929100232199
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,10,10,135,1.0,,,base,0,0.016927000000000025,10,,6,6,False,,,,,False,,0,0,,17,0,,,123,range_area7,[],11228.036691091005,0,25.521340928374684,0.0,4,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.016926332958973944
5,0,True,0,0,0,0,0,uniform__smooth__70,uniform__smooth,4,1,10,10,135,1.0,,,base,0,0.01725399999999999,10,,6,6,False,,1,0,1,False,,0,0,,17,0,,,123,faithful_area7,[],11228.036691091005,0,25.521340928374684,0.0,4,,,302.760734,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,9,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,117,3027.60734,,,True,0.017265874950680882
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,,13,12,132,1.0,,,,,0.0223509999999999,12,,6,7,False,,,,,,,0,,,19,0,,,117,area_return1_7,[],11457.765426791182,0,41.17540470974342,0.0,6,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.022379292000550777
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,13,12,132,1.0,,,base,0,0.023254999999999915,12,,6,7,False,,,,,False,,0,0,,19,0,,,117,range_area7,[],11457.765426791182,0,41.17540470974342,0.0,6,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.02326166699640453
5,0,True,0,0,0,0,0,uniform__smooth__71,uniform__smooth,6,0,13,12,132,1.0,,,base,0,0.02337900000000004,12,,6,7,False,,0,0,0,False,,0,0,,19,0,,,117,faithful_area7,[],11457.765426791182,0,41.17540470974342,0.0,6,,,254.04609025,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,22,,3,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,109,3048.553083,,,True,0.023396624950692058
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,,15,10,139,1.0,,,,,0.020645999999999942,10,,1,6,False,,,,,,,0,,,17,0,,,122,area_return1_7,[],12544.11036699349,0,59.11179150090638,0.0,9,,,329.8822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,115,3298.822072,,,True,0.02064545900793746
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,15,10,136,1.0,,,base,0,0.019957000000000003,10,,1,6,False,,,,,False,,0,0,,17,0,,,119,range_area7,[],12544.11036699349,0,59.11179150090638,0.0,9,,,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.019967125030234456
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,2,15,10,137,1.0,,,base,0,0.020631000000000066,10,,1,6,False,,2,1,2,False,,0,0,,17,0,,,120,faithful_area7,[],12544.11036699349,0,59.11179150090638,0.0,9,,,328.6822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3286.822072,,,True,0.02064512495417148
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,,22,15,162,1.0,,,,,0.033537999999999846,15,,1,8,False,,,,,,,0,,,22,0,,,138,area_return1_7,[],12603.979749546508,0,126.3358280542244,0.0,14,,,228.98639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,128,3434.79595,,,True,0.033569624996744096
