active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
7,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,7,0,14,10,142,1.0,,,locked,17,0.02079999999999993,10,,3,7,False,,True,,0,0,,0,0,,,126,range_locked_area7,[],11514.424955647663,,,,,0,38.17251503846566,0.0,7,,,311.588499,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,11,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,121,3115.88499,,,True,0.0208277499768883
7,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,7,0,14,10,142,1.0,,,locked,17,0.019722999999999935,10,cached_distance_prefix_sum,3,7,False,,True,,0,0,,0,0,,,126,fast_locked_area7,[],11514.424955647663,,,,,0,38.17251503846566,0.0,7,,,311.588499,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,11,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,121,3115.88499,,,True,0.019757499976549298
9,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,12,8,20,15,137,1.0,,,locked,22,0.03661899999999996,15,,3,8,False,,True,,0,0,,0,0,,,115,range_locked_area7,[],11203.017299801088,,,,,0,86.95151269923997,0.0,12,,,201.04023053333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,110,3015.603458,,,True,0.036625083012040704
9,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,12,8,20,15,137,1.0,,,locked,22,0.02966000000000002,15,cached_distance_prefix_sum,3,8,False,,True,,0,0,,0,0,,,115,fast_locked_area7,[],11203.017299801088,,,,,0,86.95151269923997,0.0,12,,,201.04023053333333,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,10,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,110,3015.603458,,,True,0.02967183303553611
9,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,10,6,21,15,167,1.0,,,locked,22,0.04032999999999998,15,,5,11,False,,True,,0,0,,0,0,,,144,range_locked_area7,[],12117.397192930022,,,,,0,114.41184694292362,0.0,10,,,224.76529586666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,135,3371.479438,,,True,0.04033466603141278
9,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,10,6,21,15,167,1.0,,,locked,22,0.032613,15,cached_distance_prefix_sum,5,11,False,,True,,0,0,,0,0,,,144,fast_locked_area7,[],12117.397192930022,,,,,0,114.41184694292362,0.0,10,,,224.76529586666666,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",,3,69,1.0,36,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,135,3371.479438,,,True,0.032693416986148804
4,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,6,2,11,10,138,1.0,,,locked,17,0.020540000000000003,10,,4,5,False,,True,,0,0,,0,0,,,125,range_locked_area7,[],10696.08464676192,,,,,0,43.84216074143808,0.0,6,,,293.42169309999997,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,117,2934.216931,,,True,0.020552875008434057
4,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,6,2,11,10,138,1.0,,,locked,17,0.01873400000000003,10,cached_distance_prefix_sum,4,5,False,,True,,0,0,,0,0,,,125,fast_locked_area7,[],10696.08464676192,,,,,0,43.84216074143808,0.0,6,,,293.42169309999997,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",,3,70,1.0,10,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,117,2934.216931,,,True,0.018757082987576723
10,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,10,7,17,12,140,1.0,,,locked,19,0.030505999999999922,12,,2,7,False,,True,,0,0,,0,0,,,121,range_locked_area7,[],12464.432638335687,,,,,0,95.83895903624173,0.0,10,,,273.8238773333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,20,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3285.886528,,,True,0.03053466696292162
10,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,10,7,17,12,140,1.0,,,locked,19,0.027198999999999973,12,cached_distance_prefix_sum,2,7,False,,True,,0,0,,0,0,,,121,fast_locked_area7,[],12464.432638335687,,,,,0,95.83895903624173,0.0,10,,,273.8238773333333,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",,3,71,1.0,20,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3285.886528,,,True,0.027199166011996567
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,7,0,13,10,139,1.0,,,locked,17,0.020056000000000074,10,,3,6,False,,True,,0,0,,0,0,,,124,range_locked_area7,[],11439.585376816449,,,,,0,41.22805345201003,0.0,7,,,308.6917073,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,120,3086.917073,,,True,0.02008904202375561
6,0,True,0,0,0,0,0,uniform__adversarial-negative__67,uniform__adversarial-negative,7,0,13,10,139,1.0,,,locked,17,0.019139000000000017,10,cached_distance_prefix_sum,3,6,False,,True,,0,0,,0,0,,,124,fast_locked_area7,[],11439.585376816449,,,,,0,41.22805345201003,0.0,7,,,308.6917073,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",,3,67,1.0,11,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,120,3086.917073,,,True,0.01916304201586172
11,0,True,0,0,0,0,0,uniform__adversarial-negative__68,uniform__adversarial-negative,12,5,22,15,145,1.0,,,locked,22,0.03737800000000013,15,,3,10,False,,True,,0,0,,0,0,,,121,range_locked_area7,[],11163.52153498195,,,,,0,86.64739161121139,0.0,12,,,203.11362066666666,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",,3,68,1.0,21,,9,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3046.70431,,,True,0.0373946669860743
