active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,cpu_s,discovered_channels,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,forced_continuations,inconsistent_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
9,0,True,0,0,0,0,0,clustered__adversarial-negative__115,clustered__adversarial-negative,10,18,12,152,1.0,,,0.02321999999999491,12,2,8,False,,,0,7.374997949227691e-05,,19,0,,,132,area_return1_7,[],10335.12542206658,0,81.55874022537643,0.0,10,,,244.2520905,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,24,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,126,2931.025086,,,True,0.02322550001554191
9,0,True,0,0,0,0,0,clustered__adversarial-negative__115,clustered__adversarial-negative,10,18,12,149,1.0,,,0.025515000000005728,12,2,8,True,,,0,6.824999582022429e-05,,19,0,,,129,expanded_area_return1_7,[],10478.021301573932,0,84.70255263723985,0.0,10,,,245.13368858333334,"[4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 18, 19]",,3,115,21,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,123,2941.604263,,,True,0.025531916006002575
28,0,True,,,,,,clustered__adversarial-negative__116,clustered__adversarial-negative,16,16,16,105,,,,0.23170400000000058,16,,,,,,0,6.591703277081251e-05,,,,,,87,peer_layout9_proxy,[],16702.26661829664,0,,0.0,,,,245.465832875,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,,,,,,16,ordinary,4,public_upper_bound_16,72,3927.453326,,,,0.2318200830486603
11,0,True,0,0,0,0,0,clustered__adversarial-negative__116,clustered__adversarial-negative,14,24,16,200,,,,0.035992000000000246,16,2,10,,,,0,5.541602149605751e-05,,21,2,,,174,clearance7,[],10437.649898922793,0,124.15583344403757,0.0,14,,,201.84562375,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,66,,0,,,16,ordinary,5,public_upper_bound_16,168,3229.52998,,,,0.0360058750375174
11,0,True,0,0,0,0,0,clustered__adversarial-negative__116,clustered__adversarial-negative,14,24,16,200,1.0,,,0.035719999999997754,16,2,10,False,,,0,9.783299174159765e-05,,21,2,,,174,area_return1_7,[],10437.649898922793,0,124.15583344403757,0.0,14,,,201.84562375,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,66,,0,,,16,ordinary,5,public_upper_bound_16,168,3229.52998,,,True,0.035729958035517484
9,0,True,0,0,0,0,0,clustered__adversarial-negative__116,clustered__adversarial-negative,13,23,16,189,1.0,,,0.0353149999999971,16,3,10,True,,,0,0.00010212499182671309,,21,2,,,164,expanded_area_return1_7,[],10577.119775769801,0,92.49035070620027,0.0,13,,,199.71399725,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20]",,3,116,58,,0,,,16,ordinary,5,public_upper_bound_16,159,3195.423956,,,True,0.03533816698472947
18,0,True,,,,,,clustered__adversarial-spatial__107,clustered__adversarial-spatial,11,11,11,146,,,,0.14672800000000308,11,,,,,,0,7.866602391004562e-05,,,,,,133,peer_layout9_proxy,[],16060.846086901605,0,,0.0,,,,368.4699288181818,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,,,,,,11,ordinary,9,full_coverage_and_all_discovered_cleared,121,4053.169217,,,,0.1469456670456566
7,0,True,0,0,0,0,0,clustered__adversarial-spatial__107,clustered__adversarial-spatial,11,15,11,128,,,,0.0237770000000026,11,0,4,,,,0,6.9500005338341e-05,,18,0,,,111,clearance7,[],9950.679867900742,0,115.5463047582665,0.0,11,,,247.10327036363634,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,18,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,106,2718.135974,,,,0.023809208010789007
7,0,True,0,0,0,0,0,clustered__adversarial-spatial__107,clustered__adversarial-spatial,11,15,11,128,1.0,,,0.023386999999999603,11,0,4,False,,,0,8.31250217743218e-05,,18,0,,,111,area_return1_7,[],9950.679867900742,0,115.5463047582665,0.0,11,,,247.10327036363634,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,18,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,106,2718.135974,,,True,0.023420499986968935
8,0,True,0,0,0,0,0,clustered__adversarial-spatial__107,clustered__adversarial-spatial,11,16,11,130,1.0,,,0.026552999999999827,11,0,5,True,,,0,6.966700311750174e-05,,18,0,,,112,expanded_area_return1_7,[],9978.729945410681,0,112.10997524801722,0.0,11,,,248.4314536363636,"[2, 3, 5, 7, 9, 10, 11, 14, 16, 19, 20]",,3,107,18,,1,,,11,ordinary,7,full_coverage_and_all_discovered_cleared,107,2732.74599,,,True,0.02656954200938344
