active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,failure,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_batch_screens,historical_cache_evictions,historical_exact_clip_calls,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_max_cover_radius,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,wall_s
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,15,15,237,bounded_transverse_width,,base,0,0.05388999999999999,15,,0,0,,False,0,first,,0,,0,8,403,0,0,0,29,2,46,0,2,2,220,history_first8_width015,[],21823.84216933692,0,0.0,False,0,382.5845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5738.768431,40.0,constant,0.053992875036783516
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,15,15,237,bounded_transverse_width,,base,0,0.05619200000000002,15,,0,0,,False,0,recent,,0,,0,8,403,0,0,0,29,2,46,0,2,2,220,history_recent8_width015,[],21823.84216933692,0,0.0,False,0,382.5845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5738.768431,40.0,constant,0.05619937501614913
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,15,15,237,bounded_transverse_width,,base,0,0.06033299999999997,15,,0,0,,False,0,ends,,0,,0,16,961,0,0,0,29,2,46,0,2,2,220,history_ends16_width015,[],21823.84216933692,0,0.0,False,0,382.5845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5738.768431,40.0,constant,0.06038133299443871
12,2,True,0,12,5,5,1,uniform__iid__69,uniform__iid,10,19,15,15,240,bounded_transverse_width,,arc,48,0.05844100000000019,15,cached_distance_prefix_sum,0,0,,False,0,ends,,0,,0,8,532,3,2,0,19,6,0,0,4,3,223,history_arc8_width015,[],25545.788982773574,0,0.0,False,0,433.2771862,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,0.5,24,0,17,6,26,15,ordinary,22,full_coverage_and_all_discovered_cleared,200,6499.157793,40.0,constant,0.05865295900730416
5,1,True,0,5,5,5,0,uniform__iid__69,uniform__iid,10,33,15,15,237,bounded_transverse_width,,locked,41,0.052203,15,cached_distance_prefix_sum,0,0,,True,0,ends,,0,,0,8,796,1,1,0,33,1,0,0,2,2,220,history_locked8_width015,[],22359.20184193586,0,0.0,False,0,389.4560242,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,27,0,3,1,19,15,ordinary,22,full_coverage_and_all_discovered_cleared,195,5841.840363,40.0,constant,0.05227325001033023
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,15,15,237,bounded_transverse_width,,base,0,0.05332399999999993,15,,0,0,,False,0,first,373,0,27,0,8,403,0,0,0,29,2,46,0,2,2,220,batch_history_first8_width015,[],21823.84216933692,0,0.0,False,0,382.5845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5738.768431,40.0,constant,0.05335649999324232
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,15,15,237,bounded_transverse_width,,base,0,0.05558299999999994,15,,0,0,,False,0,recent,374,0,27,0,8,403,0,0,0,29,2,46,0,2,2,220,batch_history_recent8_width015,[],21823.84216933692,0,0.0,False,0,382.5845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5738.768431,40.0,constant,0.05570162500953302
9,0,True,0,9,6,6,0,uniform__iid__69,uniform__iid,9,29,15,15,237,bounded_transverse_width,,base,0,0.058061999999999836,15,,0,0,,False,0,ends,910,0,39,0,16,961,0,0,0,29,2,46,0,2,2,220,batch_history_ends16_width015,[],21823.84216933692,0,0.0,False,0,382.5845620666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,25,2,1,2,24,15,ordinary,22,full_coverage_and_all_discovered_cleared,199,5738.768431,40.0,constant,0.05809400003636256
12,2,True,0,12,5,5,1,uniform__iid__69,uniform__iid,10,19,15,15,240,bounded_transverse_width,,arc,48,0.05694500000000002,15,cached_distance_prefix_sum,0,0,,False,0,ends,548,0,34,0,8,532,3,2,0,19,6,0,0,4,3,223,batch_history_arc8_width015,[],25545.788982773574,0,0.0,False,0,433.2771862,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,0.5,24,0,17,6,26,15,ordinary,22,full_coverage_and_all_discovered_cleared,200,6499.157793,40.0,constant,0.056995916995219886
5,1,True,0,5,5,5,0,uniform__iid__69,uniform__iid,10,33,15,15,237,bounded_transverse_width,,locked,41,0.05061300000000002,15,cached_distance_prefix_sum,0,0,,True,0,ends,768,0,20,0,8,796,1,1,0,33,1,0,0,2,2,220,batch_history_locked8_width015,[],22359.20184193586,0,0.0,False,0,389.4560242,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",30.0,4,69,1.0,27,0,3,1,19,15,ordinary,22,full_coverage_and_all_discovered_cleared,195,5841.840363,40.0,constant,0.05063537496607751
