best_m,bound_kind,certified_optimal,comparison_budget,comparisons,delta_scores,full_scores,generated_candidates,initial_2opt_m,local_polishes,lower_bound_m,method,point_set,polish_enabled,raw_proposal_best_m,seed,shared_setup_s,stations,wall_s
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,particle_swarm,square700,True,31669.8484809835,43,0.008990250003989786,45,0.009025625011418015
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,particle_swarm,square700,True,31669.8484809835,44,0.008844915952067822,45,0.008884540991857648
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,particle_swarm,square700,True,31669.8484809835,45,0.009024917031638324,45,0.009068708051927388
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,particle_swarm,square700,True,31669.8484809835,46,0.008946040994487703,45,0.008980125014204532
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,fireworks,square700,True,31669.8484809835,42,0.008794042048975825,45,0.008824042044579983
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,fireworks,square700,True,31669.8484809835,43,0.008787499973550439,45,0.008823624986689538
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,fireworks,square700,True,31669.8484809835,44,0.009057457966264337,45,0.009101249976083636
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,fireworks,square700,True,31669.8484809835,45,0.008904875023290515,45,0.008936917001847178
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,fireworks,square700,True,31669.8484809835,46,0.008750042004976422,45,0.008779334020800889
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,iterated_search,square700,True,31669.8484809835,42,0.008874999999534339,45,0.008922375040128827
31669.8484809835,"square checkerboard: colors 21/24, at least 3 same-color edges",True,100000,1,0,1,0,31669.8484809835,0,31669.8484809835,iterated_search,square700,True,31669.8484809835,43,0.00904649996664375,45,0.009086999983992428
