all_clear_rate,all_cleared,errors,max_commands,max_wall_s,mean_clear_calls,mean_commands,mean_cpu_s,mean_measurements,mean_move_m,mean_per_source_s,mean_stations,mean_switches,mean_total_s,mean_wall_s,method,n,p95_total_s,p95_wall_s,pooled_per_source_s,role,split,stop_at_16,stop_full_coverage,sum_cpu_s,task,worst_case_id,worst_per_source_s,worst_total_s
1.0,93,0,924,1.0565381250344217,101.26881720430107,475.59139784946234,0.45095824731182865,372.3225806451613,45573.35801259989,950.1076439683068,30.0,335.48387096774195,11640.929665182795,0.46217670252481574,particle_swarm,93,14502.1918692,0.7104190501966513,918.2412712994062,,all_comparison,24,69,41.93911700000007,q4_active,near_collinear_min__n16__spatial,1485.9256559,14995.383698
1.0,75,0,615,0.7328447499894537,74.86666666666666,394.97333333333336,0.4350975333333342,318.1066666666667,44091.808091871055,897.8235853170179,29.333333333333332,280.9866666666667,10939.681617026667,0.4410568944287176,fireworks,75,12075.339535899999,0.636631537694484,868.2286997640211,,ordinary,15,60,32.63231500000006,q4_active,edge__adversarial-negative__55,1241.3133989,12413.133989
1.0,93,0,776,1.0139298750436865,99.20430107526882,431.36559139784947,0.42294335483870904,330.16129032258067,44605.21541383932,915.1484463008211,29.365591397849464,294.7956989247312,11189.612975892473,0.43290953178794916,fireworks,93,12894.487284999997,0.637343008595053,882.6412271060219,,all_comparison,24,69,39.33373199999994,q4_active,near_collinear_min__n16__negative,1309.5884116,14154.677447
1.0,75,0,612,0.7139115839963779,76.49333333333334,427.37333333333333,0.43951974666666654,348.88,44105.65443096676,910.8213666229528,29.733333333333334,311.38666666666666,11131.59755484,0.4493163466368181,iterated_search,75,12586.565561799998,0.6193965287180617,883.4601234,,ordinary,15,60,32.96398099999999,q4_active,clustered__adversarial-spatial__53,1250.6701834,12810.62902
1.0,93,0,823,0.7139115839963779,104.3010752688172,458.6236559139785,0.4290512043010712,352.3225806451613,44137.13150677755,919.238530380876,29.13978494623656,316.97849462365593,11244.275764301075,0.4382461205147387,iterated_search,93,12779.2470082,0.6217870246153323,886.953050110263,,all_comparison,24,69,39.90176199999962,q4_active,boundary_outward_min__n10__negative,1316.6516725,13166.516725
1.0,75,0,626,0.7263006669818424,82.32,397.6,0.4080279733333365,313.28,43652.34578331439,895.7352668801769,28.76,278.7733333333333,10847.802489880001,0.41611034170569233,adaptive_greedy,75,12457.8251363,0.6116434499854222,860.9367055460318,,ordinary,15,60,30.60209800000024,q4_active,edge__iid__53,1264.7090804,12905.853878
1.0,93,0,922,0.7263006669818424,118.21505376344086,440.0860215053763,0.39916522580645525,319.8709677419355,44633.51430462479,922.5219511530994,28.344086021505376,286.98924731182797,11193.046944731183,0.4065182074717927,adaptive_greedy,93,14688.504304999997,0.5917017497937193,882.9120999660729,,all_comparison,24,69,37.12236600000034,q4_active,boundary_outward_min__n10__negative,1581.5655177,15815.655177
1.0,75,0,612,0.6094694169587456,84.85333333333334,418.3333333333333,0.40727677333332774,331.48,44021.441002563835,903.6991470121127,29.8,296.8,11038.248202053333,0.4113577705427694,adaptive_two_opt,75,12890.0835628,0.5494571668095886,876.0514446074075,,ordinary,15,60,30.54575799999958,q4_active,clustered__adversarial-spatial__53,1287.891304,13435.079351
1.0,93,0,937,0.6094694169587456,114.01075268817205,452.752688172043,0.4046686666666612,336.741935483871,44282.27144128435,917.4967031194454,29.161290322580644,303.89247311827955,11211.443534688171,0.409774883060656,adaptive_two_opt,93,13425.896111,0.5372726422036066,884.363230471586,,all_comparison,24,69,37.63418599999949,q4_active,boundary_outward_min__n10__negative,1480.8997726,14808.997726
1.0,18,0,915,0.7516022500349209,235.88888888888889,622.8888888888889,0.3829933888888806,385.0,50880.59229073519,1071.0180189388889,28.833333333333332,356.8888888888889,13191.67400388889,0.40372153700769153,greedy,18,14864.186159199999,0.5979391437140291,1014.7441541452991,,stress,9,9,6.893880999999851,q4_active,boundary_outward_min__n10__negative,1555.645,15556.45
