method,seed,stations,best_m,initial_2opt_m,lower_bound_m,bound_kind,certified_optimal,wall_s,shared_setup_s,comparison_budget,comparisons,full_scores,delta_scores,generated_candidates,local_polishes,polish_enabled,raw_proposal_best_m
fireworks,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.2946791250142269,0.00674108398379758,10000,9999,9999,0,9998,0,False,30424.73029949318
fireworks,43,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.2954936250462197,0.00661545799812302,10000,9999,9999,0,9998,0,False,30424.73029949318
fireworks,44,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.30252658302197233,0.006728250009473413,10000,9999,9999,0,9998,0,False,30424.73029949318
fireworks,45,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.2717952079838142,0.006324291985947639,10000,9999,9999,0,9998,0,False,30424.73029949318
fireworks,46,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.2582157920114696,0.0061982080223970115,10000,9999,9999,0,9998,0,False,30424.73029949318
fireworks,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.01381974999094382,0.0067407500464469194,10000,10000,69,9931,58,10,True,30424.73029949318
fireworks,43,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.007703249983023852,0.006243084033485502,10000,2192,17,2175,14,2,True,30424.73029949318
fireworks,44,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.0124341250048019,0.006153374968562275,10000,9185,50,9135,42,7,True,30424.73029949318
fireworks,45,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.009822624968364835,0.006287749973125756,10000,5252,32,5220,27,4,True,30424.73029949318
fireworks,46,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.011313333990983665,0.006368708971422166,10000,7438,43,7395,36,6,True,30424.73029949318
iterated_search,42,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.36029141600010917,0.006764916004613042,10000,9999,9999,0,9998,0,False,30424.73029949318
iterated_search,43,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.3508192080189474,0.00624258304014802,10000,9999,9999,0,9998,0,False,30424.73029949318
iterated_search,44,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.3525449589942582,0.006345958972815424,10000,9999,9999,0,9998,0,False,30424.73029949318
iterated_search,45,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.3509549999726005,0.007343499979469925,10000,9999,9999,0,9998,0,False,30424.73029949318
iterated_search,46,31,30424.73029949318,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,False,0.35316554200835526,0.00681358395377174,10000,9999,9999,0,9998,0,False,30424.73029949318
iterated_search,42,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.00860787503188476,0.006699000019580126,10000,3054,9,3045,4,4,True,30424.73029949318
iterated_search,43,31,29699.999999999996,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.009841374994721264,0.0068131660227663815,10000,5231,11,5220,5,5,True,30424.73029949318
iterated_search,44,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.009429334022570401,0.006543042021803558,10000,4794,9,4785,4,4,True,30424.73029949318
iterated_search,45,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.011027582979295403,0.00618683296488598,10000,9154,19,9135,9,9,True,30424.73029949318
iterated_search,46,31,29700.0,30424.73029949318,29699.99999999999,(n-1) times minimum interstation distance,True,0.009889459004625678,0.006125999963842332,10000,6538,13,6525,6,6,True,30424.73029949318
