active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
18,6,True,0,18,2,3,1,uniform__adversarial-spatial__128,uniform__adversarial-spatial,14,0,17,16,223,,bounded_transverse_width,,locked,44,0.04498299999998778,16,cached_distance_prefix_sum,0,0,,,,,,True,0,,,,,,,,0,0,0.00012854195665568113,1,0,7,5,3,204,locked_noskip_width015,[],18411.18364552347,0,,0.0,,False,0,310.5772953125,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",30.0,4,128,1.0,26,2,35,1,29,16,ordinary,15,public_upper_bound_16,184,4969.236725,40.0,constant,,0.04501374997198582
18,6,True,0,18,2,3,1,uniform__adversarial-spatial__128,uniform__adversarial-spatial,14,18,17,16,205,,bounded_transverse_width,,locked,44,0.04505799999999738,16,cached_distance_prefix_sum,0,0,,,18,4,18,True,0,,,,,,,,0,18,0.00011212500976398587,1,0,7,5,3,186,faithful_locked_width015,[],18411.18364552347,0,,0.0,,False,0,303.8272953125,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",30.0,4,128,1.0,26,2,35,1,29,16,ordinary,15,public_upper_bound_16,166,4861.236725,40.0,constant,,0.045111916959285736
13,3,True,0,13,1,4,0,uniform__adversarial-spatial__128,uniform__adversarial-spatial,15,77,19,16,225,,bounded_transverse_width,,base,0,0.05291200000000629,16,,0,0,,,,,,False,0,first,0,0,8,700,0,0,0,77,0.00011654203990474343,3,42,6,4,2,204,history_first8_width015,[],17563.024617006253,0,,0.0,,False,0,300.4753075625,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",30.0,4,128,1.0,19,14,16,3,26,16,ordinary,16,public_upper_bound_16,186,4807.604921,40.0,constant,,0.05296066700248048
13,3,True,0,13,1,4,0,uniform__adversarial-spatial__128,uniform__adversarial-spatial,15,77,19,16,225,,bounded_transverse_width,,base,0,0.05580299999999738,16,,0,0,,,,,,False,0,recent,0,0,8,700,0,0,0,77,0.00015954201808199286,3,42,6,4,2,204,history_recent8_width015,[],17563.024617006253,0,,0.0,,False,0,300.4753075625,"[1, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 20]",30.0,4,128,1.0,19,14,16,3,26,16,ordinary,16,public_upper_bound_16,186,4807.604921,40.0,constant,,0.05581887502921745
23,4,True,0,23,0,2,2,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,,16,14,347,,,,,,0.04880500000000154,14,,0,0,,,,,,,0,,,,,,,,0,,0.00022404099581763148,3,57,0,6,6,329,packet_center22,[],21530.517694143375,0,,0.0,,False,0,452.0073955,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",,4,129,,13,1,50,3,35,14,ordinary,22,full_coverage_and_all_discovered_cleared,301,6328.103537,,,,0.04884070804109797
12,3,True,0,12,0,2,1,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,,16,14,319,,bounded_transverse_width,,,,0.04122999999999877,14,,0,0,,,,,,,0,,,,,,,,0,,0.00015516701387241483,4,46,0,4,3,301,width40_f015_22,[],22361.028396267568,0,,0.0,,False,0,452.3004053571429,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,,17,8,9,4,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,279,6332.205675,40.0,constant,,0.04129170795204118
12,3,True,0,12,0,2,1,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,23,16,14,296,,bounded_transverse_width,,base,0,0.040907000000004246,14,,0,0,,,,,,False,0,,,,,,,,0,23,0.00014241703320294619,4,46,0,4,3,278,range_width015,[],22361.028396267568,0,,0.0,,False,0,442.51469107142856,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,1.0,17,8,9,4,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,257,6195.205675,40.0,constant,,0.04093770799227059
12,3,True,0,12,0,2,1,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,22,16,14,297,,bounded_transverse_width,,base,0,0.04103899999999783,14,,0,0,,,22,1,22,False,0,,,,,,,,0,22,0.000134292000439018,4,46,0,4,3,279,faithful_width015,[],22361.028396267568,0,,0.0,,False,0,442.87183392857145,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,1.0,17,8,9,4,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,257,6200.205675,40.0,constant,,0.04105100000742823
17,0,True,0,17,0,2,0,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,0,16,14,274,,bounded_transverse_width,,arc,53,0.05034700000000214,14,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,0,0.00015375000657513738,8,0,0,3,3,256,arc05_noskip_width015,[],22392.65430638386,0,,0.0,,False,0,433.3950614285714,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,0.5,11,6,27,8,31,14,ordinary,22,full_coverage_and_all_discovered_cleared,233,6067.53086,40.0,constant,,0.050390541029628366
17,0,True,0,17,0,2,0,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,16,16,14,258,,bounded_transverse_width,,arc,53,0.049534000000008405,14,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,16,0.00012054195394739509,8,0,0,3,3,240,fast_arc05_width015,[],22392.65430638386,0,,0.0,,False,0,426.5379185714286,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,0.5,11,6,27,8,31,14,ordinary,22,full_coverage_and_all_discovered_cleared,217,5971.53086,40.0,constant,,0.04958204203285277
17,0,True,0,17,0,2,0,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,16,16,14,258,,bounded_transverse_width,,arc,53,0.05016000000000531,14,cached_distance_prefix_sum,0,0,,,16,0,16,False,0,,,,,,,,0,16,0.00012495799455791712,8,0,0,3,3,240,faithful_arc05_width015,[],22392.65430638386,0,,0.0,,False,0,426.5379185714286,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,0.5,11,6,27,8,31,14,ordinary,22,full_coverage_and_all_discovered_cleared,217,5971.53086,40.0,constant,,0.05019758298294619
12,0,True,0,12,1,3,0,uniform__adversarial-spatial__129,uniform__adversarial-spatial,13,0,16,14,269,,bounded_transverse_width,,locked,48,0.038906999999994696,14,cached_distance_prefix_sum,0,0,,,,,,True,0,,,,,,,,0,0,0.00012450001668184996,3,0,0,3,3,251,locked_noskip_width015,[],21211.52833172393,0,,0.0,,False,0,414.52183299999996,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,1.0,14,0,11,3,26,14,ordinary,22,full_coverage_and_all_discovered_cleared,230,5803.305662,40.0,constant,,0.038938208017498255
12,0,True,0,12,1,3,0,uniform__adversarial-spatial__129,uniform__adversarial-spatial,13,15,16,14,254,,bounded_transverse_width,,locked,48,0.03884400000001165,14,cached_distance_prefix_sum,0,0,,,15,0,15,True,0,,,,,,,,0,15,0.00012129201786592603,3,0,0,3,3,236,faithful_locked_width015,[],21211.52833172393,0,,0.0,,False,0,408.09326157142857,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,1.0,14,0,11,3,26,14,ordinary,22,full_coverage_and_all_discovered_cleared,215,5713.305662,40.0,constant,,0.03888083400670439
11,2,True,0,11,0,2,1,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,23,16,14,295,,bounded_transverse_width,,base,0,0.05078300000000979,14,,0,0,,,,,,False,0,first,0,0,8,998,4,3,0,23,0.00012450001668184996,4,46,0,4,3,277,history_first8_width015,[],22339.648051462253,0,,0.0,,False,0,441.8521147142857,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,1.0,17,8,9,4,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,257,6185.929606,40.0,constant,,0.05082262499490753
11,2,True,0,11,0,2,1,uniform__adversarial-spatial__129,uniform__adversarial-spatial,14,23,16,14,295,,bounded_transverse_width,,base,0,0.05465000000000941,14,,0,0,,,,,,False,0,recent,0,0,8,998,4,3,0,23,0.00019062496721744537,4,46,0,4,3,277,history_recent8_width015,[],22339.648051462253,0,,0.0,,False,0,441.8521147142857,"[2, 3, 4, 5, 6, 8, 9, 10, 13, 14, 16, 17, 18, 19]",30.0,4,129,1.0,17,8,9,4,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,257,6185.929606,40.0,constant,,0.05469654203625396
15,6,True,0,15,2,3,3,uniform__adversarial-spatial__130,uniform__adversarial-spatial,12,,15,14,334,,,,,,0.03904099999999744,14,,0,0,,,,,,,0,,,,,,,,0,,0.00027408398455008864,2,48,0,7,5,317,packet_center22,[],21610.85771274576,0,,0.0,,False,0,447.8693956428571,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",,4,130,,17,0,22,2,26,14,ordinary,22,full_coverage_and_all_discovered_cleared,290,6270.171539,,,,0.03911887499270961
11,3,True,0,11,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,,15,14,256,,bounded_transverse_width,,,,0.03628899999999646,14,,0,0,,,,,,,0,,,,,,,,0,,0.00014700001338496804,1,45,0,3,2,239,width40_f015_22,[],20992.726934435814,0,,0.0,,False,0,405.7532416428571,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,,17,2,26,1,23,14,ordinary,22,full_coverage_and_all_discovered_cleared,214,5680.545383,40.0,constant,,0.036311250005383044
11,3,True,0,11,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,18,15,14,238,,bounded_transverse_width,,base,0,0.035637000000008356,14,,0,0,,,,,,False,0,,,,,,,,0,18,0.00012154103023931384,1,45,0,3,2,221,range_width015,[],20992.726934435814,0,,0.0,,False,0,398.11038449999995,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,1.0,17,2,26,1,23,14,ordinary,22,full_coverage_and_all_discovered_cleared,197,5573.545383,40.0,constant,,0.03566562494961545
11,3,True,0,11,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,13,15,14,243,,bounded_transverse_width,,base,0,0.03617900000000418,14,,0,0,,,13,5,13,False,0,,,,,,,,0,13,0.0001112909521907568,1,45,0,3,2,226,faithful_width015,[],20992.726934435814,0,,0.0,,False,0,400.46752735714284,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,1.0,17,2,26,1,23,14,ordinary,22,full_coverage_and_all_discovered_cleared,205,5606.545383,40.0,constant,,0.036206417018547654
12,3,True,0,12,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,0,15,14,247,,bounded_transverse_width,,arc,46,0.040656999999995946,14,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,0,0.0001270839711651206,2,0,0,3,2,230,arc05_noskip_width015,[],21039.629842885683,0,,0.0,,False,0,402.5661402857143,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,0.5,19,1,38,2,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,205,5635.925964,40.0,constant,,0.040718625008594245
12,3,True,0,12,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,9,15,14,238,,bounded_transverse_width,,arc,46,0.04023700000000474,14,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,9,0.00012454204261302948,2,0,0,3,2,221,fast_arc05_width015,[],21039.629842885683,0,,0.0,,False,0,398.780426,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,0.5,19,1,38,2,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,197,5582.925964,40.0,constant,,0.04027016699546948
12,3,True,0,12,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,8,15,14,239,,bounded_transverse_width,,arc,46,0.04060800000000597,14,cached_distance_prefix_sum,0,0,,,8,1,8,False,0,,,,,,,,0,8,0.00011662498582154512,2,0,0,3,2,222,faithful_arc05_width015,[],21039.629842885683,0,,0.0,,False,0,399.13756885714287,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,0.5,19,1,38,2,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,197,5587.925964,40.0,constant,,0.040652416995726526
11,2,True,0,11,1,3,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,0,16,14,260,,bounded_transverse_width,,locked,46,0.035542000000006624,14,cached_distance_prefix_sum,0,0,,,,,,True,0,,,,,,,,0,0,0.00011716596782207489,2,0,0,3,2,242,locked_noskip_width015,[],22628.07484278932,0,,0.0,,False,0,430.61535464285714,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,1.0,23,0,5,2,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,217,6028.614965,40.0,constant,,0.03556416602805257
11,2,True,0,11,1,3,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,3,16,14,257,,bounded_transverse_width,,locked,46,0.035050999999995724,14,cached_distance_prefix_sum,0,0,,,3,1,3,True,0,,,,,,,,0,3,0.00012341700494289398,2,0,0,3,2,239,faithful_locked_width015,[],22628.07484278932,0,,0.0,,False,0,429.4010689285714,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,1.0,23,0,5,2,24,14,ordinary,22,full_coverage_and_all_discovered_cleared,215,6011.614965,40.0,constant,,0.035078125016298145
11,3,True,0,11,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,18,15,14,238,,bounded_transverse_width,,base,0,0.04096899999998982,14,,0,0,,,,,,False,0,first,0,0,8,396,3,1,0,18,0.00012691604206338525,1,45,0,3,2,221,history_first8_width015,[],20992.726934435814,0,,0.0,,False,0,398.11038449999995,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,1.0,17,2,26,1,23,14,ordinary,22,full_coverage_and_all_discovered_cleared,197,5573.545383,40.0,constant,,0.04099316702922806
11,3,True,0,11,1,2,1,uniform__adversarial-spatial__130,uniform__adversarial-spatial,13,18,15,14,238,,bounded_transverse_width,,base,0,0.0435810000000032,14,,0,0,,,,,,False,0,recent,0,0,8,396,3,1,0,18,0.00014691700926050544,1,45,0,3,2,221,history_recent8_width015,[],20992.726934435814,0,,0.0,,False,0,398.11038449999995,"[1, 2, 4, 5, 6, 9, 10, 12, 14, 15, 17, 18, 19, 20]",30.0,4,130,1.0,17,2,26,1,23,14,ordinary,22,full_coverage_and_all_discovered_cleared,197,5573.545383,40.0,constant,,0.0436149169690907
15,0,True,0,15,1,4,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,11,,15,12,344,,,,,,0.03722799999999893,12,,0,0,,,,,,,0,,,,,,,,0,,0.0002187080099247396,3,49,0,7,7,327,packet_center22,[],22099.55213458965,0,,0.0,,False,0,535.4925353333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",,4,131,,11,0,30,3,27,12,ordinary,22,full_coverage_and_all_discovered_cleared,302,6425.910424,,,,0.037296666007023305
10,1,True,0,10,0,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,12,,13,12,325,,bounded_transverse_width,,,,0.03183599999999842,12,,0,0,,,,,,,0,,,,,,,,0,,0.0001480000209994614,3,43,0,2,2,310,width40_f015_22,[],21119.956425062883,0,,0.0,,False,0,510.33260683333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,,8,2,21,3,21,12,ordinary,22,full_coverage_and_all_discovered_cleared,287,6123.991282,40.0,constant,,0.03183558298042044
10,1,True,0,10,0,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,12,3,13,12,322,,bounded_transverse_width,,base,0,0.031655000000000655,12,,0,0,,,,,,False,0,,,,,,,,0,3,0.00013687496539205313,3,43,0,2,2,307,range_width015,[],21119.956425062883,0,,0.0,,False,0,508.83260683333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,1.0,8,2,21,3,21,12,ordinary,22,full_coverage_and_all_discovered_cleared,284,6105.991282,40.0,constant,,0.03167116700205952
10,1,True,0,10,0,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,12,3,13,12,322,,bounded_transverse_width,,base,0,0.03210500000000138,12,,0,0,,,3,0,3,False,0,,,,,,,,0,3,0.000140833028126508,3,43,0,2,2,307,faithful_width015,[],21119.956425062883,0,,0.0,,False,0,508.83260683333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,1.0,8,2,21,3,21,12,ordinary,22,full_coverage_and_all_discovered_cleared,284,6105.991282,40.0,constant,,0.03212187497410923
16,1,True,0,16,1,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,11,0,12,12,326,,bounded_transverse_width,,arc,49,0.03758999999999446,12,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,0,0.00012766604777425528,7,0,0,3,3,312,arc05_noskip_width015,[],21320.40773702833,0,,0.0,,False,0,514.5067955000001,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,0.5,5,0,17,7,27,12,ordinary,22,full_coverage_and_all_discovered_cleared,290,6174.081546,40.0,constant,,0.037630332983098924
16,1,True,0,16,1,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,11,4,12,12,322,,bounded_transverse_width,,arc,49,0.037623999999993885,12,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,4,0.00014279200695455074,7,0,0,3,3,308,fast_arc05_width015,[],21320.40773702833,0,,0.0,,False,0,512.5067955000001,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,0.5,5,0,17,7,27,12,ordinary,22,full_coverage_and_all_discovered_cleared,286,6150.081546,40.0,constant,,0.03764225001214072
16,1,True,0,16,1,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,11,3,12,12,323,,bounded_transverse_width,,arc,49,0.03758400000000961,12,cached_distance_prefix_sum,0,0,,,3,1,3,False,0,,,,,,,,0,3,0.00014158402336761355,7,0,0,3,3,309,faithful_arc05_width015,[],21320.40773702833,0,,0.0,,False,0,513.0901288333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,0.5,5,0,17,7,27,12,ordinary,22,full_coverage_and_all_discovered_cleared,288,6157.081546,40.0,constant,,0.03763120900839567
13,1,True,0,13,1,2,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,11,0,13,12,309,,bounded_transverse_width,,locked,46,0.035345999999989886,12,cached_distance_prefix_sum,0,0,,,,,,True,0,,,,,,,,0,0,0.00014520902186632156,3,0,0,3,3,294,locked_noskip_width015,[],21437.72969628389,0,,0.0,,False,0,507.87882783333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,1.0,7,8,36,3,24,12,ordinary,22,full_coverage_and_all_discovered_cleared,274,6094.545934,40.0,constant,,0.0353674580110237
13,1,True,0,13,1,2,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,11,20,13,12,289,,bounded_transverse_width,,locked,46,0.03509299999998916,12,cached_distance_prefix_sum,0,0,,,20,4,20,True,0,,,,,,,,0,20,0.0001272499794140458,3,0,0,3,3,274,faithful_locked_width015,[],21437.72969628389,0,,0.0,,False,0,498.21216116666665,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,1.0,7,8,36,3,24,12,ordinary,22,full_coverage_and_all_discovered_cleared,258,5978.545934,40.0,constant,,0.03510591702070087
10,1,True,0,10,0,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,12,3,13,12,322,,bounded_transverse_width,,base,0,0.0403829999999914,12,,0,0,,,,,,False,0,first,0,0,8,770,1,1,0,3,0.00014504202408716083,3,43,0,2,2,307,history_first8_width015,[],21119.956425062883,0,,0.0,,False,0,508.83260683333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,1.0,8,2,21,3,21,12,ordinary,22,full_coverage_and_all_discovered_cleared,284,6105.991282,40.0,constant,,0.040400874975603074
10,1,True,0,10,0,1,0,uniform__adversarial-spatial__131,uniform__adversarial-spatial,12,3,13,12,322,,bounded_transverse_width,,base,0,0.04380199999999945,12,,0,0,,,,,,False,0,recent,0,0,8,770,1,1,0,3,0.0001835830044001341,3,43,0,2,2,307,history_recent8_width015,[],21119.956425062883,0,,0.0,,False,0,508.83260683333333,"[1, 2, 3, 6, 7, 10, 12, 13, 16, 17, 19, 20]",30.0,4,131,1.0,8,2,21,3,21,12,ordinary,22,full_coverage_and_all_discovered_cleared,284,6105.991282,40.0,constant,,0.04382220801198855
17,2,True,0,17,1,3,1,uniform__adversarial-spatial__132,uniform__adversarial-spatial,12,,15,13,315,,,,,,0.041601999999997474,13,,0,0,,,,,,,0,,,,,,,,0,,0.00026575004449114203,4,51,0,9,8,298,packet_center22,[],24178.498258065843,0,,0.0,,False,0,512.8230498461538,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",,4,132,,10,0,18,4,29,13,ordinary,22,full_coverage_and_all_discovered_cleared,270,6666.699648,,,,0.0416387909790501
8,0,True,0,8,2,5,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,11,,16,13,310,,bounded_transverse_width,,,,0.03742099999999482,13,,0,0,,,,,,,0,,,,,,,,0,,0.00018962501781061292,1,43,0,3,3,292,width40_f015_22,[],21408.18167777532,0,,0.0,,False,0,468.0489486923077,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,,11,5,17,1,21,13,ordinary,22,full_coverage_and_all_discovered_cleared,269,6084.636333,40.0,constant,,0.03748225001618266
8,0,True,0,8,2,5,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,11,14,16,13,296,,bounded_transverse_width,,base,0,0.03695600000000354,13,,0,0,,,,,,False,0,,,,,,,,0,14,0.00013741699513047934,1,43,0,3,3,278,range_width015,[],21408.18167777532,0,,0.0,,False,0,461.66433330769235,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,1.0,11,5,17,1,21,13,ordinary,22,full_coverage_and_all_discovered_cleared,256,6001.636333,40.0,constant,,0.0370145839988254
8,0,True,0,8,2,5,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,11,12,16,13,298,,bounded_transverse_width,,base,0,0.037005000000007726,13,,0,0,,,12,2,12,False,0,,,,,,,,0,12,0.00013933400623500347,1,43,0,3,3,280,faithful_width015,[],21408.18167777532,0,,0.0,,False,0,462.58741023076925,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,1.0,11,5,17,1,21,13,ordinary,22,full_coverage_and_all_discovered_cleared,258,6013.636333,40.0,constant,,0.03702987503493205
12,1,True,0,12,2,3,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,11,0,14,13,312,,bounded_transverse_width,,arc,46,0.039244000000010715,13,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,0,0.0001354999840259552,3,0,0,4,3,296,arc05_noskip_width015,[],21072.80300751496,0,,0.0,,False,0,464.2738926153846,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,0.5,13,3,8,3,24,13,ordinary,22,full_coverage_and_all_discovered_cleared,273,6035.560604,40.0,constant,,0.03927887498866767
12,1,True,0,12,2,3,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,11,17,14,13,295,,bounded_transverse_width,,arc,46,0.03905399999999304,13,cached_distance_prefix_sum,0,0,,,,,,False,0,,,,,,,,0,17,0.000144416990224272,3,0,0,4,3,279,fast_arc05_width015,[],21072.80300751496,0,,0.0,,False,0,456.50466184615385,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,0.5,13,3,8,3,24,13,ordinary,22,full_coverage_and_all_discovered_cleared,257,5934.560604,40.0,constant,,0.039100958965718746
12,1,True,0,12,2,3,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,11,14,14,13,298,,bounded_transverse_width,,arc,46,0.03902099999999109,13,cached_distance_prefix_sum,0,0,,,14,3,14,False,0,,,,,,,,0,14,0.00013229198521003127,3,0,0,4,3,282,faithful_arc05_width015,[],21072.80300751496,0,,0.0,,False,0,457.9662003076923,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,0.5,13,3,8,3,24,13,ordinary,22,full_coverage_and_all_discovered_cleared,261,5953.560604,40.0,constant,,0.03904337499989197
7,1,True,0,7,1,3,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,12,0,15,13,309,,bounded_transverse_width,,locked,41,0.03572300000000439,13,cached_distance_prefix_sum,0,0,,,,,,True,0,,,,,,,,0,0,0.00013620802201330662,1,0,0,4,3,292,locked_noskip_width015,[],21760.571607620135,0,,0.0,,False,0,473.2395629230769,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,1.0,15,0,29,1,19,13,ordinary,22,full_coverage_and_all_discovered_cleared,269,6152.114318,40.0,constant,,0.03574491600738838
7,1,True,0,7,1,3,0,uniform__adversarial-spatial__132,uniform__adversarial-spatial,12,18,15,13,291,,bounded_transverse_width,,locked,41,0.03564299999999321,13,cached_distance_prefix_sum,0,0,,,18,1,18,True,0,,,,,,,,0,18,0.0001338329748250544,1,0,0,4,3,274,faithful_locked_width015,[],21760.571607620135,0,,0.0,,False,0,465.0087936923077,"[1, 2, 4, 5, 6, 8, 9, 13, 14, 15, 16, 18, 20]",30.0,4,132,1.0,15,0,29,1,19,13,ordinary,22,full_coverage_and_all_discovered_cleared,252,6045.114318,40.0,constant,,0.03570945799583569
