active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,historical_anchor_mode,historical_cache_evictions,historical_inconsistent_cuts,historical_negative_limit,historical_pair_checks,historical_pair_cuts,historical_pair_updates,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
24,0,True,,,,,,uniform__iid__133,uniform__iid,13,,13,13,151,,,,,,0.19754000000000005,13,,,,,,,,,,,,,,,,,,0,,6.937497528269887e-05,,,,,,136,peer_layout9_proxy,[],16702.1415655768,0,,0.0,,,,323.64833184615384,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,122,4207.428314,,,,0.1977060409844853
8,0,True,0,0,0,0,0,uniform__iid__133,uniform__iid,3,,14,13,145,1.0,,,,,0.023978999999999973,13,,10,11,False,,,,,,,,,,,,,,0,,7.116701453924179e-05,,20,0,,,129,area_return1_7,[],13426.543327192592,0,19.516064691658833,0.0,3,,,270.8698971538461,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,123,3521.308663,,,True,0.02397870901040733
8,0,True,0,0,0,0,0,uniform__iid__133,uniform__iid,3,2,14,13,143,1.0,,,base,0,0.023282999999999943,13,,10,11,False,,,,,False,,,,,,,,,0,0,9.920797310769558e-05,,20,0,,,127,range_area7,[],13426.543327192592,0,19.516064691658833,0.0,3,,,269.8698971538461,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,1.0,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,120,3508.308663,,,True,0.023289832985028625
8,0,True,0,0,0,0,0,uniform__iid__133,uniform__iid,3,2,14,13,143,1.0,,,base,0,0.023957999999999924,13,,10,11,False,,2,0,2,False,,,,,,,,,0,0,0.0001497499761171639,,20,0,,,127,faithful_area7,[],13426.543327192592,0,19.516064691658833,0.0,3,,,269.8698971538461,"[1, 2, 4, 5, 11, 12, 13, 15, 16, 17, 18, 19, 20]",,3,133,1.0,16,,0,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,120,3508.308663,,,True,0.02397629094775766
23,0,True,,,,,,uniform__iid__134,uniform__iid,13,,13,13,131,,,,,,0.1812079999999998,13,,,,,,,,,,,,,,,,,,0,,9.066599886864424e-05,,,,,,116,peer_layout9_proxy,[],20294.00839104679,0,,0.0,,,,369.6770522307692,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,,,,,,,13,ordinary,9,full_coverage_and_all_discovered_cleared,102,4805.801679,,,,0.1813603329937905
4,0,True,0,0,0,0,0,uniform__iid__134,uniform__iid,4,,13,13,138,1.0,,,,,0.02298200000000028,13,,9,9,False,,,,,,,,,,,,,,0,,6.620795466005802e-05,,20,0,,,123,area_return1_7,[],12841.714273891967,0,31.276209961803175,0.0,4,,,258.718681,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,,17,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,115,3363.342853,,,True,0.0230043749907054
4,0,True,0,0,0,0,0,uniform__iid__134,uniform__iid,4,2,13,13,136,1.0,,,base,0,0.02306700000000017,13,,9,9,False,,,,,False,,,,,,,,,0,0,9.233399759978056e-05,,20,0,,,121,range_area7,[],12841.714273891967,0,31.276209961803175,0.0,4,,,257.7956040769231,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,1.0,17,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,113,3351.342853,,,True,0.023089291993528605
4,0,True,0,0,0,0,0,uniform__iid__134,uniform__iid,4,2,13,13,136,1.0,,,base,0,0.02250400000000008,13,,9,9,False,,2,0,2,False,,,,,,,,,0,0,6.962503539398313e-05,,20,0,,,121,faithful_area7,[],12841.714273891967,0,31.276209961803175,0.0,4,,,257.7956040769231,"[1, 2, 4, 5, 7, 8, 10, 11, 13, 14, 17, 18, 19]",,3,134,1.0,17,,1,,,13,ordinary,7,full_coverage_and_all_discovered_cleared,113,3351.342853,,,True,0.0225046249688603
23,0,True,,,,,,uniform__iid__135,uniform__iid,15,,15,15,125,,,,,,0.17721600000000004,15,,,,,,,,,,,,,,,,,,0,,6.341701373457909e-05,,,,,,108,peer_layout9_proxy,[],18783.24806628073,0,,0.0,,,,297.90997426666667,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,,,,,,,15,ordinary,9,full_coverage_and_all_discovered_cleared,97,4468.649614,,,,0.17738329200074077
4,0,True,0,0,0,0,0,uniform__iid__135,uniform__iid,9,,16,15,131,1.0,,,,,0.027057999999999804,15,,6,7,False,,,,,,,,,,,,,,0,,5.725002847611904e-05,,22,0,,,113,area_return1_7,[],13725.046524475843,0,64.36673099874615,0.0,9,,,232.867287,"[1, 2, 3, 5, 6, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20]",,3,135,,10,,12,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,105,3493.009305,,,True,0.027060208027251065
