active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,initialization_s,interrupted_channels,joint_route_solves,known_upper_bound_skips,maximum_source_primary_rf,maximum_source_rounds,measurements,method,missed_channels,move_m,negative_history_limit,negative_hull_inconsistent_cuts,negative_hull_updates,negative_shadow_cuts,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,per_source_s,policy_cleared_channels,probe_angle_cap_deg,problem,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,success_history_limit,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
23,0,True,,,,,,uniform__iid__122,uniform__iid,14,,14,14,138,,,,,,0.180577,14,,,,,,,,0,,5.7500030379742384e-05,,,,,,122,peer_layout9_proxy,[],19470.983468864175,,,,,0,,0.0,,,,334.5140498571428,"[2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16, 17, 18, 19]",,3,122,,,,,,,14,ordinary,9,full_coverage_and_all_discovered_cleared,,109,4683.196698,,,,0.18088495801202953
7,0,True,0,0,0,0,0,uniform__iid__122,uniform__iid,6,,18,14,155,1.0,,,,,0.02783100000000016,14,,8,12,False,,,,0,,7.358298171311617e-05,,21,0,,,135,area_return1_7,[],11440.940034349827,,,,,0,44.191364711291044,0.0,6,,,226.37057214285713,"[2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16, 17, 18, 19]",,3,122,,30,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,124,3169.18801,,,True,0.027842000010423362
7,0,True,0,0,0,0,0,uniform__iid__122,uniform__iid,6,4,18,14,151,1.0,,,base,0,0.027891999999999806,14,,8,12,False,,False,,0,0,7.995800115168095e-05,,21,0,,,131,range_area7,[],11440.940034349827,,,,,0,44.191364711291044,0.0,6,,,224.6562864285714,"[2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16, 17, 18, 19]",,3,122,1.0,30,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,120,3145.18801,,,True,0.02789179200772196
8,0,True,0,0,0,0,0,uniform__iid__122,uniform__iid,8,4,17,14,139,1.0,,,locked,21,0.028700999999999866,14,cached_distance_prefix_sum,6,9,False,,True,,0,0,7.158302469179034e-05,,0,0,,,120,fast_locked_area7,[],11629.464131163293,,,,,0,41.6575270812898,0.0,8,,,222.4209162857143,"[2, 3, 4, 5, 7, 8, 10, 11, 12, 14, 16, 17, 18, 19]",,3,122,1.0,22,,0,,,14,ordinary,7,full_coverage_and_all_discovered_cleared,,109,3113.892828,,,True,0.028705332952085882
16,0,True,,,,,,uniform__iid__123,uniform__iid,10,,10,10,148,,,,,,0.13098999999999994,10,,,,,,,,0,,0.0001501670340076089,,,,,,136,peer_layout9_proxy,[],19217.628658022928,,,,,0,,0.0,,,,469.9525732,"[1, 3, 4, 7, 9, 14, 15, 17, 18, 20]",,3,123,,,,,,,10,ordinary,9,full_coverage_and_all_discovered_cleared,,126,4699.525732,,,,0.13112475001253188
6,0,True,0,0,0,0,0,uniform__iid__123,uniform__iid,4,,10,10,131,1.0,,,,,0.018602999999999925,10,,6,6,False,,,,0,,6.87920255586505e-05,,17,0,,,119,area_return1_7,[],12226.600571645351,,,,,0,22.255688680138775,0.0,4,,,320.4320114,"[1, 3, 4, 7, 9, 14, 15, 17, 18, 20]",,3,123,,10,,3,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,114,3204.320114,,,True,0.018640999973285943
6,0,True,0,0,0,0,0,uniform__iid__123,uniform__iid,4,1,10,10,130,1.0,,,base,0,0.018771000000000093,10,,6,6,False,,False,,0,0,6.858399137854576e-05,,17,0,,,118,range_area7,[],12226.600571645351,,,,,0,22.255688680138775,0.0,4,,,319.8320114,"[1, 3, 4, 7, 9, 14, 15, 17, 18, 20]",,3,123,1.0,10,,3,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,113,3198.320114,,,True,0.018771125003695488
5,0,True,0,0,0,0,0,uniform__iid__123,uniform__iid,3,9,10,10,135,1.0,,,locked,17,0.02055399999999996,10,cached_distance_prefix_sum,7,7,False,,True,,0,0,6.916699931025505e-05,,0,0,,,123,fast_locked_area7,[],11927.297553955075,,,,,0,15.74208192527729,0.0,3,,,316.545951,"[1, 3, 4, 7, 9, 14, 15, 17, 18, 20]",,3,123,1.0,10,,1,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,,115,3165.45951,,,True,0.02058170799864456
23,0,True,,,,,,uniform__iid__124,uniform__iid,12,,12,12,140,,,,,,0.186102,12,,,,,,,,0,,6.083399057388306e-05,,,,,,126,peer_layout9_proxy,[],21788.771829031302,,,,,0,,0.0,,,,429.81286391666663,"[1, 2, 3, 5, 6, 7, 13, 14, 16, 18, 19, 20]",,3,124,,,,,,,12,ordinary,9,full_coverage_and_all_discovered_cleared,,110,5157.754367,,,,0.18626562500139698
7,0,True,0,0,0,0,0,uniform__iid__124,uniform__iid,5,,13,12,147,1.0,,,,,0.022173999999999694,12,,7,8,False,,,,0,,6.724998820573092e-05,,19,0,,,132,area_return1_7,[],10321.803225453948,,,,,0,38.38987258651396,0.0,5,,,242.53005383333334,"[1, 2, 3, 5, 6, 7, 13, 14, 16, 18, 19, 20]",,3,124,,24,,0,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,,123,2910.360646,,,True,0.022191834053955972
