all_cleared,largest_slowdown_s,max_total_s,max_wall_s,mean_commands,mean_cpu_s,mean_per_source_s,mean_total_s,mean_wall_s,method,p95_total_s,runs,slower_cases,split
75,38.71426900000006,5180.860146,0.03881958400597796,141.94666666666666,0.024866346666667028,352.7730985977778,4275.867719106666,0.024977323883213103,cov_dynamic80_9,4814.5557264,75,3,ordinary
75,366.8350479999999,4922.280846,0.04534374998183921,176.37333333333333,0.020806666666667067,348.27414657911106,4192.358652373334,0.02106263390664632,cov_opportunistic80_9,4826.7842392,75,30,ordinary
75,398.21959400000014,4922.280846,0.032221667002886534,179.48,0.021544240000000218,357.002919832,4298.562407813334,0.02160518492339179,cov_deferred80_9,4831.2235936,75,31,ordinary
75,282.17103599999973,5231.309271,0.035626750031951815,127.2,0.024452986666666416,362.9609962355556,4422.301407826667,0.024505395547797282,cov_trial80_7,5137.440237100001,75,12,ordinary
75,174.30652999999984,5341.111573,0.03343445801874623,127.05333333333333,0.024300826666666962,365.5688481691111,4453.794187386667,0.024382436691472928,cov_robust80_7,5196.8822941,75,13,ordinary
18,0,5059.251535,0.32551795803010464,130.83333333333334,0.1976309444444474,364.27405248055555,4497.647831222222,0.1982896226076668,baseline_peer9,5019.74998225,18,0,stress
18,1313.3820160000005,6239.969941,0.3446385420393199,115.16666666666667,0.20393533333333222,366.70703057777774,4576.649325777777,0.20535565511737433,baseline_ring7,6060.59481755,18,8,stress
18,763.138755,5202.018247,0.3378254580311477,133.77777777777777,0.19754594444444487,366.0274503888889,4546.97094488889,0.1979447244407816,dynamic_greedy9,5177.5904744,18,2,stress
18,763.138755,5202.018247,0.3296355830389075,133.77777777777777,0.19811155555555615,366.0274503888889,4546.97094488889,0.19871518739900138,dynamic_two_opt9,5177.5904744,18,2,stress
18,2053.5273690000004,6463.668305,0.2278625830076635,193.94444444444446,0.12886688888888959,415.5507297715278,5163.267463444445,0.12921868061918454,deferred9,6420.78191455,18,18,stress
18,2053.5273690000004,6463.668305,0.22631983301835135,193.94444444444446,0.1282712777777767,415.5507297715278,5163.267463444445,0.12857703006011434,opportunistic200_9,6420.78191455,18,18,stress
18,2053.5273690000004,6463.668305,0.2313897919957526,193.94444444444446,0.12820655555555682,415.5507297715278,5163.267463444445,0.12838102083898978,opportunistic600_9,6420.78191455,18,18,stress
18,35.13478099999975,5047.913901,0.1883352089789696,138.88888888888889,0.11026844444444588,363.82647629930557,4492.192138388888,0.11059816427425379,trial80_9,5036.3963143,18,7,stress
18,146.3199110000005,5099.811512,0.03910395799903199,130.33333333333334,0.030749000000000137,365.6077817388889,4517.075251555556,0.03079622682869538,cov_mean9,5076.943387400001,18,7,stress
18,139.5473460000003,5099.706048,0.03478504199301824,137.66666666666666,0.026233777777778283,364.2014809909722,4498.196197888889,0.02628515956328354,cov_trial80_9,5071.17088755,18,7,stress
18,86.38879699999961,5099.167917,0.03353087499272078,137.72222222222223,0.025874277777779595,364.61485035763894,4504.8111675555565,0.02591494895103905,cov_robust80_9,5044.0844167,18,9,stress
18,777.4323290000002,5187.573265,0.0343019170104526,140.55555555555554,0.026274055555556213,365.92182610208334,4547.403031999999,0.026307988449439615,cov_dynamic80_9,5164.0131605,18,6,stress
18,2076.934351,6461.735795,0.035327917023096234,200.88888888888889,0.024862666666666183,419.16070063819444,5205.960019777779,0.024885911953687254,cov_opportunistic80_9,6443.74412975,18,18,stress
18,2076.934351,6461.735795,0.035395334009081125,200.77777777777777,0.025011499999998757,417.9273522659722,5193.626536055556,0.025039851888626192,cov_deferred80_9,6443.74412975,18,18,stress
18,1337.9487340000005,6264.536659,0.03730087500298396,123.61111111111111,0.02662972222222335,367.66183814374995,4591.166991333334,0.026658261666953977,cov_trial80_7,6256.6078029,18,8,stress
18,1337.8998149999998,6264.48774,0.03724179201526567,123.83333333333333,0.026598388888890965,367.9857324201389,4596.425406055556,0.026627539446862,cov_robust80_7,6256.552667,18,9,stress
