active_measurements,active_no_signal,all_cleared,bracket_cut_inconsistencies,bracket_measurements,bracket_optical_success,bracket_optical_trials,bracket_pair_cuts,case_id,category,certified_clears,certified_range_scan_skips,certified_scan_skips,clear_calls,cleared,commands,completion_proxy_weight,configured_angle_schedule,configured_probe_angle_deg,coupled_dispatch_model,coupled_route_plans,cpu_s,deferred_nonstationary_skips,discovered_channels,dispatch_implementation,early_optical_success,early_optical_trials,expanded_sensing_candidates,failure,faithful_attempt_memory_updates,faithful_nonstationary_retained,faithful_stationary_skips,fixed_scan_order,forced_continuations,inconsistent_updates,inferred_negative_memory_updates,interrupted_channels,joint_route_solves,known_upper_bound_skips,logical_negative_memory_limit,maximum_source_primary_rf,maximum_source_rounds,measurements,method,minimum_actual_unknown_per_station,minimum_unknown_actions_per_station,missed_channels,move_m,optical_fallback_calls,optical_local_move_saved_m,optical_max_cover_radius,optical_position_adjustments,outer_priority_used,packet_fallbacks,pair_prediction_checks,per_source_s,policy_cleared_channels,predicted_pair_skips,probe_angle_cap_deg,problem,public_empty_scan_skips,public_empty_scans,seed,service_entry_weight,shared_known_measurements,shared_negative_cooldown_skips,skipped_precise_measurements,source_interruptions,source_packets,sources,split,stations_visited,stop_reason,switches,total_virtual_s,transverse_target_m,transverse_width_rule,uniform_area_ranking_prior,wall_s
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,3,15,10,136,1.0,,,base,0,0.021193000000000017,1,10,,1,6,False,,3,0,2,False,,0,0,,17,0,4,,,119,lean_deferred_area7,10,,[],12544.11036699349,0,59.11179150090638,0.0,9,,,0,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,,,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.0211931670201011
10,0,True,0,0,0,0,0,uniform__adversarial-positive__67,uniform__adversarial-positive,9,3,3,15,10,136,1.0,,,base,0,0.021969000000000016,1,10,,1,6,False,,3,0,2,False,,0,0,,17,0,4,,,119,count_deferred_area7,10,10,[],12544.11036699349,0,59.11179150090638,0.0,9,,,0,328.1822072,"[4, 5, 7, 8, 9, 10, 14, 15, 18, 19]",0,,3,0,0,67,1.0,7,,0,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,113,3281.822072,,,True,0.022018334013409913
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,4,22,15,158,1.0,,,base,0,0.035586000000000007,0,15,,1,8,False,,4,0,4,False,,0,0,,22,0,4,,,134,lean_deferred_area7,5,,[],12603.979749546508,0,126.3358280542244,0.0,14,,,0,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,,,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03561620897380635
12,0,True,0,0,0,0,0,uniform__adversarial-positive__68,uniform__adversarial-positive,14,4,4,22,15,158,1.0,,,base,0,0.03504099999999999,0,15,,1,8,False,,4,0,4,False,,0,0,,22,0,4,,,134,count_deferred_area7,5,5,[],12603.979749546508,0,126.3358280542244,0.0,14,,,0,227.38639666666668,"[2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 19, 20]",0,,3,0,0,68,1.0,33,,0,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,124,3410.79595,,,True,0.03509800002211705
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,6,6,19,15,144,1.0,,,base,0,0.030898000000000092,0,15,,6,10,False,,6,0,6,False,,0,0,,22,0,4,,,123,lean_deferred_area7,6,,[],13010.796039392302,0,107.1655831496508,0.0,9,,,0,227.94394726666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,,,69,1.0,23,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,115,3419.159209,,,True,0.03093916701618582
10,0,True,0,0,0,0,0,uniform__adversarial-positive__69,uniform__adversarial-positive,9,6,6,19,15,144,1.0,,,base,0,0.031272999999999995,0,15,,6,10,False,,6,0,6,False,,0,0,,22,0,4,,,123,count_deferred_area7,6,6,[],13010.796039392302,0,107.1655831496508,0.0,9,,,0,227.94394726666667,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18]",0,,3,0,0,69,1.0,23,,6,,,15,ordinary,7,full_coverage_and_all_discovered_cleared,115,3419.159209,,,True,0.031369582982733846
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,1,1,13,10,133,1.0,,,base,0,0.019517000000000007,0,10,,2,5,False,,1,0,1,False,,0,0,,17,0,4,,,118,lean_deferred_area7,10,,[],11220.950146327352,0,50.559319946033376,0.0,8,,,0,300.71900270000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,,,70,1.0,7,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3007.190027,,,True,0.019546750001609325
8,0,True,0,0,0,0,0,uniform__adversarial-positive__70,uniform__adversarial-positive,8,1,1,13,10,133,1.0,,,base,0,0.019704000000000055,0,10,,2,5,False,,1,0,1,False,,0,0,,17,0,4,,,118,count_deferred_area7,10,10,[],11220.950146327352,0,50.559319946033376,0.0,8,,,0,300.71900270000003,"[2, 3, 5, 10, 11, 13, 15, 16, 19, 20]",0,,3,0,0,70,1.0,7,,6,,,10,ordinary,7,full_coverage_and_all_discovered_cleared,114,3007.190027,,,True,0.01973254099721089
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,0,0,16,12,150,1.0,,,base,0,0.02576299999999998,0,12,,4,8,False,,0,0,0,False,,0,0,,19,0,4,,,132,lean_deferred_area7,8,,[],12063.417805624325,0,48.0087867640272,0.0,8,,,0,272.14029666666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,,,71,1.0,19,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3265.68356,,,True,0.02577908302191645
8,0,True,0,0,0,0,0,uniform__adversarial-positive__71,uniform__adversarial-positive,8,0,0,16,12,150,1.0,,,base,0,0.025871999999999895,0,12,,4,8,False,,0,0,0,False,,0,0,,19,0,4,,,132,count_deferred_area7,8,8,[],12063.417805624325,0,48.0087867640272,0.0,8,,,0,272.14029666666664,"[1, 2, 4, 5, 7, 9, 10, 13, 17, 18, 19, 20]",0,,3,0,0,71,1.0,19,,1,,,12,ordinary,7,full_coverage_and_all_discovered_cleared,121,3265.68356,,,True,0.025920665997546166
